,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Solar,Wind Onshore
2023-01-01 01:00:00+01:00,179.0,1647.0,53.0,841.0,5279.0,312.0,123.0,214.0,0.0,0.0,4251.0
2023-01-01 02:00:00+01:00,179.0,2085.0,52.0,1047.0,5555.0,312.0,0.0,214.0,0.0,0.0,3125.0
2023-01-01 03:00:00+01:00,179.0,2172.0,53.0,851.0,5313.0,313.0,0.0,214.0,0.0,0.0,3487.0
2023-01-01 04:00:00+01:00,180.0,1900.0,52.0,781.0,5148.0,311.0,0.0,214.0,0.0,0.0,4258.0
2023-01-01 05:00:00+01:00,179.0,1655.0,51.0,798.0,4971.0,309.0,0.0,214.0,0.0,0.0,4474.0
2023-01-01 06:00:00+01:00,179.0,1536.0,47.0,791.0,4981.0,307.0,0.0,214.0,0.0,0.0,4497.0
2023-01-01 07:00:00+01:00,179.0,1551.0,49.0,794.0,4975.0,309.0,0.0,214.0,0.0,8.0,4566.0
2023-01-01 08:00:00+01:00,179.0,1545.0,49.0,799.0,5048.0,311.0,0.0,218.0,0.0,351.0,4338.0
2023-01-01 09:00:00+01:00,178.0,1539.0,50.0,799.0,5056.0,309.0,0.0,225.0,0.0,1116.0,4223.0
2023-01-01 10:00:00+01:00,179.0,1567.0,52.0,807.0,5042.0,307.0,0.0,224.0,0.0,1975.0,4156.0
2023-01-01 11:00:00+01:00,178.0,1550.0,52.0,805.0,4970.0,306.0,0.0,220.0,0.0,2399.0,4525.0
2023-01-01 12:00:00+01:00,191.0,1533.0,52.0,803.0,4918.0,303.0,0.0,220.0,0.0,2217.0,5247.0
2023-01-01 13:00:00+01:00,196.0,1622.0,52.0,829.0,5044.0,299.0,0.0,219.0,0.0,1602.0,5709.0
2023-01-01 14:00:00+01:00,197.0,1590.0,52.0,820.0,5012.0,301.0,0.0,219.0,0.0,714.0,6466.0
2023-01-01 15:00:00+01:00,195.0,1546.0,50.0,846.0,5007.0,302.0,0.0,232.0,0.0,141.0,6702.0
2023-01-01 16:00:00+01:00,196.0,1770.0,46.0,880.0,5210.0,303.0,273.0,247.0,0.0,0.0,6506.0
2023-01-01 17:00:00+01:00,196.0,1800.0,44.0,740.0,5267.0,301.0,495.0,260.0,50.0,0.0,6116.0
2023-01-01 18:00:00+01:00,197.0,2203.0,45.0,556.0,5438.0,293.0,788.0,266.0,57.0,0.0,5601.0
2023-01-01 19:00:00+01:00,195.0,2403.0,45.0,548.0,5738.0,291.0,907.0,267.0,57.0,0.0,4832.0
2023-01-01 20:00:00+01:00,195.0,2413.0,48.0,548.0,6022.0,295.0,758.0,263.0,57.0,0.0,4240.0
2023-01-01 21:00:00+01:00,195.0,2353.0,49.0,561.0,6051.0,300.0,588.0,235.0,7.0,0.0,3943.0
2023-01-01 22:00:00+01:00,195.0,2405.0,47.0,580.0,5814.0,302.0,346.0,228.0,0.0,0.0,3451.0
2023-01-01 23:00:00+01:00,213.0,2421.0,49.0,583.0,5788.0,302.0,75.0,228.0,0.0,0.0,3009.0
2023-01-02 00:00:00+01:00,242.0,2534.0,51.0,616.0,5947.0,302.0,30.0,222.0,0.0,0.0,2742.0
2023-01-02 01:00:00+01:00,243.0,2452.0,53.0,665.0,5882.0,303.0,10.0,221.0,0.0,0.0,2457.0
2023-01-02 02:00:00+01:00,242.0,2483.0,52.0,739.0,5858.0,302.0,0.0,221.0,0.0,0.0,2099.0
2023-01-02 03:00:00+01:00,241.0,2515.0,50.0,768.0,5759.0,301.0,0.0,221.0,0.0,0.0,2216.0
2023-01-02 04:00:00+01:00,242.0,2645.0,49.0,785.0,6166.0,302.0,0.0,221.0,0.0,0.0,2476.0
2023-01-02 05:00:00+01:00,242.0,2806.0,51.0,798.0,6604.0,303.0,0.0,221.0,0.0,0.0,2981.0
2023-01-02 06:00:00+01:00,243.0,3005.0,51.0,963.0,7386.0,304.0,3.0,220.0,0.0,0.0,3611.0
2023-01-02 07:00:00+01:00,249.0,3171.0,51.0,955.0,7537.0,298.0,19.0,221.0,0.0,15.0,4418.0
2023-01-02 08:00:00+01:00,248.0,3282.0,50.0,1042.0,7340.0,299.0,822.0,227.0,0.0,252.0,5153.0
2023-01-02 09:00:00+01:00,249.0,3436.0,47.0,1094.0,7339.0,300.0,536.0,236.0,0.0,900.0,5317.0
2023-01-02 10:00:00+01:00,249.0,3742.0,46.0,1013.0,7018.0,297.0,8.0,237.0,0.0,1535.0,5311.0
2023-01-02 11:00:00+01:00,249.0,3891.0,43.0,1057.0,6629.0,299.0,0.0,237.0,0.0,1887.0,5125.0
2023-01-02 12:00:00+01:00,249.0,4029.0,39.0,1168.0,6803.0,297.0,0.0,233.0,0.0,1851.0,4957.0
2023-01-02 13:00:00+01:00,250.0,4049.0,42.0,1372.0,6862.0,295.0,0.0,233.0,0.0,1404.0,4922.0
2023-01-02 14:00:00+01:00,249.0,4222.0,43.0,1423.0,6802.0,297.0,134.0,239.0,0.0,772.0,5303.0
2023-01-02 15:00:00+01:00,250.0,4166.0,43.0,1489.0,6934.0,296.0,393.0,268.0,50.0,201.0,5647.0
2023-01-02 16:00:00+01:00,249.0,4134.0,44.0,1634.0,7335.0,295.0,856.0,276.0,57.0,11.0,6006.0
2023-01-02 17:00:00+01:00,249.0,4205.0,43.0,1591.0,7239.0,294.0,746.0,275.0,57.0,0.0,6217.0
2023-01-02 18:00:00+01:00,249.0,4174.0,43.0,1433.0,6936.0,292.0,627.0,274.0,57.0,0.0,6492.0
2023-01-02 19:00:00+01:00,249.0,4118.0,44.0,1427.0,6745.0,292.0,576.0,273.0,57.0,0.0,6544.0
2023-01-02 20:00:00+01:00,241.0,4036.0,44.0,1429.0,6618.0,290.0,356.0,273.0,7.0,0.0,6465.0
2023-01-02 21:00:00+01:00,249.0,3776.0,44.0,1437.0,6647.0,287.0,53.0,243.0,0.0,0.0,6230.0
2023-01-02 22:00:00+01:00,243.0,2798.0,47.0,1380.0,6314.0,285.0,0.0,230.0,0.0,0.0,6040.0
2023-01-02 23:00:00+01:00,241.0,2730.0,50.0,1365.0,6347.0,286.0,0.0,222.0,0.0,0.0,5700.0
2023-01-03 00:00:00+01:00,244.0,3063.0,52.0,1234.0,6367.0,285.0,0.0,213.0,0.0,0.0,5690.0
2023-01-03 01:00:00+01:00,243.0,3352.0,52.0,1212.0,6420.0,287.0,0.0,212.0,0.0,0.0,5630.0
2023-01-03 02:00:00+01:00,242.0,3314.0,52.0,1218.0,6322.0,288.0,0.0,212.0,0.0,0.0,5492.0
2023-01-03 03:00:00+01:00,241.0,3029.0,52.0,1216.0,6262.0,283.0,0.0,212.0,0.0,0.0,5513.0
2023-01-03 04:00:00+01:00,242.0,3333.0,52.0,1215.0,6474.0,285.0,0.0,211.0,0.0,0.0,5673.0
2023-01-03 05:00:00+01:00,243.0,3445.0,53.0,1219.0,6600.0,288.0,0.0,211.0,0.0,0.0,5502.0
2023-01-03 06:00:00+01:00,243.0,3955.0,53.0,1236.0,6807.0,289.0,0.0,211.0,0.0,0.0,5436.0
2023-01-03 07:00:00+01:00,250.0,4718.0,53.0,1408.0,7567.0,288.0,0.0,212.0,0.0,9.0,5493.0
2023-01-03 08:00:00+01:00,250.0,4951.0,53.0,1334.0,7587.0,279.0,0.0,230.0,0.0,287.0,5326.0
2023-01-03 09:00:00+01:00,250.0,4954.0,54.0,1397.0,7255.0,272.0,0.0,235.0,0.0,1157.0,5436.0
2023-01-03 10:00:00+01:00,249.0,4713.0,53.0,1503.0,6966.0,277.0,105.0,237.0,0.0,2021.0,5416.0
2023-01-03 11:00:00+01:00,250.0,4597.0,49.0,1516.0,6954.0,280.0,68.0,238.0,0.0,2329.0,5422.0
2023-01-03 12:00:00+01:00,249.0,4609.0,48.0,1563.0,7022.0,287.0,8.0,246.0,0.0,2157.0,5241.0
2023-01-03 13:00:00+01:00,250.0,4802.0,48.0,1578.0,7174.0,282.0,0.0,246.0,0.0,1647.0,4892.0
2023-01-03 14:00:00+01:00,250.0,5470.0,48.0,1607.0,7347.0,285.0,0.0,260.0,0.0,792.0,4493.0
2023-01-03 15:00:00+01:00,249.0,6012.0,47.0,1700.0,7925.0,286.0,95.0,260.0,0.0,168.0,3983.0
2023-01-03 16:00:00+01:00,248.0,6116.0,48.0,1835.0,8312.0,284.0,682.0,263.0,50.0,8.0,3721.0
2023-01-03 17:00:00+01:00,249.0,6115.0,48.0,1826.0,8325.0,286.0,1036.0,276.0,57.0,0.0,3571.0
2023-01-03 18:00:00+01:00,250.0,6079.0,46.0,1751.0,8477.0,290.0,697.0,281.0,57.0,0.0,3497.0
2023-01-03 19:00:00+01:00,250.0,6089.0,44.0,1723.0,8443.0,290.0,341.0,274.0,57.0,0.0,3274.0
2023-01-03 20:00:00+01:00,250.0,6088.0,46.0,1659.0,7923.0,287.0,111.0,270.0,57.0,0.0,2919.0
2023-01-03 21:00:00+01:00,249.0,5734.0,47.0,1648.0,7422.0,289.0,6.0,252.0,7.0,0.0,2826.0
2023-01-03 22:00:00+01:00,244.0,4973.0,51.0,1518.0,7127.0,297.0,0.0,217.0,0.0,0.0,2539.0
2023-01-03 23:00:00+01:00,242.0,4271.0,54.0,1502.0,6977.0,294.0,1.0,214.0,0.0,0.0,2456.0
2023-01-04 00:00:00+01:00,243.0,4062.0,50.0,1456.0,7059.0,290.0,50.0,206.0,0.0,0.0,2275.0
2023-01-04 01:00:00+01:00,242.0,3770.0,50.0,1483.0,7008.0,291.0,10.0,201.0,0.0,0.0,2123.0
2023-01-04 02:00:00+01:00,188.0,3520.0,51.0,1569.0,6964.0,293.0,0.0,199.0,0.0,0.0,2155.0
2023-01-04 03:00:00+01:00,182.0,3445.0,51.0,1594.0,6997.0,291.0,0.0,199.0,0.0,0.0,2238.0
2023-01-04 04:00:00+01:00,206.0,3506.0,52.0,1589.0,7018.0,290.0,0.0,199.0,0.0,0.0,2763.0
2023-01-04 05:00:00+01:00,244.0,3607.0,51.0,1589.0,6991.0,291.0,0.0,199.0,0.0,0.0,3143.0
2023-01-04 06:00:00+01:00,242.0,4732.0,49.0,1618.0,7368.0,294.0,203.0,200.0,50.0,0.0,3655.0
2023-01-04 07:00:00+01:00,250.0,4931.0,50.0,1651.0,8162.0,292.0,827.0,200.0,57.0,12.0,4379.0
2023-01-04 08:00:00+01:00,250.0,4846.0,49.0,1607.0,8129.0,295.0,517.0,230.0,57.0,413.0,5127.0
2023-01-04 09:00:00+01:00,251.0,4357.0,49.0,1575.0,7830.0,297.0,179.0,243.0,57.0,1390.0,5435.0
2023-01-04 10:00:00+01:00,248.0,3693.0,46.0,1549.0,7540.0,299.0,164.0,241.0,57.0,1990.0,5676.0
2023-01-04 11:00:00+01:00,249.0,3943.0,46.0,1567.0,7041.0,293.0,152.0,235.0,7.0,1996.0,5836.0
2023-01-04 12:00:00+01:00,249.0,4471.0,46.0,1499.0,6992.0,285.0,152.0,239.0,0.0,1613.0,6283.0
2023-01-04 13:00:00+01:00,249.0,4595.0,45.0,1502.0,7127.0,285.0,132.0,237.0,0.0,875.0,6634.0
2023-01-04 14:00:00+01:00,249.0,4650.0,45.0,1522.0,7202.0,276.0,46.0,229.0,0.0,387.0,6868.0
2023-01-04 15:00:00+01:00,249.0,4715.0,46.0,1512.0,7173.0,273.0,132.0,236.0,0.0,143.0,7088.0
2023-01-04 16:00:00+01:00,259.0,4914.0,47.0,1524.0,7658.0,262.0,340.0,241.0,0.0,4.0,7335.0
2023-01-04 17:00:00+01:00,256.0,4726.0,46.0,1503.0,7376.0,263.0,559.0,246.0,0.0,0.0,7456.0
2023-01-04 18:00:00+01:00,248.0,4421.0,48.0,1509.0,7307.0,264.0,455.0,246.0,0.0,0.0,7576.0
2023-01-04 19:00:00+01:00,248.0,4441.0,49.0,1507.0,7369.0,269.0,75.0,246.0,0.0,0.0,7551.0
2023-01-04 20:00:00+01:00,249.0,4265.0,50.0,1517.0,7260.0,271.0,236.0,241.0,0.0,0.0,7452.0
2023-01-04 21:00:00+01:00,250.0,3490.0,51.0,1491.0,7170.0,266.0,131.0,225.0,0.0,0.0,7315.0
2023-01-04 22:00:00+01:00,244.0,3087.0,52.0,1483.0,6753.0,267.0,37.0,208.0,0.0,0.0,7177.0
2023-01-04 23:00:00+01:00,241.0,1792.0,52.0,1504.0,6288.0,270.0,7.0,197.0,0.0,0.0,7220.0
2023-01-05 00:00:00+01:00,192.0,1710.0,52.0,1468.0,6413.0,267.0,0.0,206.0,0.0,0.0,7262.0
2023-01-05 01:00:00+01:00,167.0,1679.0,52.0,1404.0,6343.0,266.0,0.0,206.0,0.0,0.0,7246.0
2023-01-05 02:00:00+01:00,175.0,1458.0,52.0,1373.0,6179.0,266.0,0.0,206.0,0.0,0.0,7319.0
2023-01-05 03:00:00+01:00,182.0,1606.0,52.0,1423.0,6317.0,263.0,0.0,206.0,0.0,0.0,7286.0
2023-01-05 04:00:00+01:00,177.0,1668.0,53.0,1402.0,6169.0,265.0,0.0,206.0,0.0,0.0,7356.0
2023-01-05 05:00:00+01:00,170.0,2214.0,54.0,1433.0,6262.0,266.0,3.0,205.0,0.0,0.0,7305.0
2023-01-05 06:00:00+01:00,181.0,3096.0,55.0,1538.0,6593.0,262.0,177.0,204.0,0.0,0.0,7469.0
2023-01-05 07:00:00+01:00,115.0,3470.0,52.0,1516.0,7338.0,265.0,424.0,205.0,0.0,8.0,7420.0
2023-01-05 08:00:00+01:00,165.0,4045.0,49.0,1536.0,7503.0,263.0,265.0,211.0,0.0,122.0,7346.0
2023-01-05 09:00:00+01:00,235.0,4238.0,45.0,1467.0,7367.0,263.0,15.0,218.0,0.0,479.0,7353.0
2023-01-05 10:00:00+01:00,250.0,4011.0,44.0,1447.0,6933.0,262.0,0.0,222.0,0.0,959.0,7393.0
2023-01-05 11:00:00+01:00,251.0,4079.0,44.0,1454.0,6956.0,260.0,0.0,222.0,0.0,1132.0,7360.0
2023-01-05 12:00:00+01:00,258.0,4241.0,42.0,1449.0,7072.0,257.0,0.0,229.0,0.0,921.0,7292.0
2023-01-05 13:00:00+01:00,258.0,4503.0,41.0,1393.0,7180.0,258.0,0.0,221.0,0.0,666.0,7087.0
2023-01-05 14:00:00+01:00,253.0,4665.0,42.0,1364.0,7163.0,264.0,71.0,239.0,0.0,335.0,6812.0
2023-01-05 15:00:00+01:00,250.0,4924.0,46.0,1408.0,7233.0,269.0,127.0,250.0,50.0,86.0,6544.0
2023-01-05 16:00:00+01:00,248.0,5055.0,46.0,1414.0,7498.0,271.0,673.0,250.0,57.0,3.0,6341.0
2023-01-05 17:00:00+01:00,248.0,5121.0,46.0,1449.0,7691.0,277.0,263.0,251.0,57.0,0.0,6147.0
2023-01-05 18:00:00+01:00,248.0,5089.0,47.0,1445.0,7710.0,271.0,336.0,259.0,57.0,0.0,5849.0
2023-01-05 19:00:00+01:00,248.0,5098.0,47.0,1444.0,7656.0,267.0,449.0,262.0,57.0,0.0,5573.0
2023-01-05 20:00:00+01:00,250.0,5139.0,47.0,1445.0,7642.0,270.0,331.0,259.0,7.0,0.0,5044.0
2023-01-05 21:00:00+01:00,251.0,4869.0,47.0,1449.0,7250.0,281.0,148.0,258.0,0.0,0.0,4557.0
2023-01-05 22:00:00+01:00,243.0,4638.0,48.0,1451.0,7053.0,293.0,62.0,258.0,0.0,0.0,3802.0
2023-01-05 23:00:00+01:00,241.0,4517.0,52.0,1462.0,6909.0,292.0,4.0,255.0,0.0,0.0,3153.0
2023-01-06 00:00:00+01:00,241.0,4613.0,55.0,1447.0,6958.0,288.0,41.0,201.0,0.0,0.0,2381.0
2023-01-06 01:00:00+01:00,241.0,4554.0,55.0,1378.0,6866.0,286.0,5.0,201.0,0.0,0.0,1899.0
2023-01-06 02:00:00+01:00,242.0,4138.0,57.0,1374.0,6775.0,283.0,23.0,203.0,0.0,0.0,1545.0
2023-01-06 03:00:00+01:00,241.0,3743.0,56.0,1377.0,6734.0,282.0,3.0,203.0,0.0,0.0,1277.0
2023-01-06 04:00:00+01:00,241.0,3721.0,57.0,1379.0,6741.0,280.0,0.0,208.0,0.0,0.0,1030.0
2023-01-06 05:00:00+01:00,242.0,4289.0,57.0,1382.0,6802.0,274.0,0.0,208.0,0.0,0.0,887.0
2023-01-06 06:00:00+01:00,243.0,4682.0,58.0,1382.0,6789.0,274.0,0.0,214.0,0.0,0.0,854.0
2023-01-06 07:00:00+01:00,242.0,4766.0,59.0,1379.0,6841.0,274.0,0.0,219.0,0.0,6.0,932.0
2023-01-06 08:00:00+01:00,241.0,4815.0,57.0,1382.0,6857.0,273.0,57.0,233.0,0.0,140.0,1059.0
2023-01-06 09:00:00+01:00,241.0,5067.0,58.0,1464.0,7023.0,274.0,89.0,236.0,0.0,476.0,1297.0
2023-01-06 10:00:00+01:00,242.0,5143.0,56.0,1524.0,7209.0,273.0,231.0,239.0,0.0,812.0,1540.0
2023-01-06 11:00:00+01:00,243.0,5273.0,52.0,1390.0,7020.0,276.0,180.0,239.0,0.0,974.0,1724.0
2023-01-06 12:00:00+01:00,243.0,5295.0,51.0,1371.0,6883.0,278.0,172.0,253.0,0.0,981.0,1975.0
2023-01-06 13:00:00+01:00,241.0,5362.0,51.0,1391.0,6994.0,280.0,223.0,255.0,0.0,697.0,2286.0
2023-01-06 14:00:00+01:00,242.0,5314.0,51.0,1434.0,6955.0,280.0,151.0,262.0,0.0,375.0,2681.0
2023-01-06 15:00:00+01:00,243.0,5140.0,51.0,1396.0,6945.0,281.0,311.0,271.0,50.0,111.0,3112.0
2023-01-06 16:00:00+01:00,242.0,4967.0,52.0,1517.0,7227.0,283.0,311.0,273.0,57.0,3.0,3710.0
2023-01-06 17:00:00+01:00,240.0,4792.0,51.0,1449.0,7010.0,285.0,130.0,277.0,57.0,0.0,4125.0
2023-01-06 18:00:00+01:00,242.0,4768.0,50.0,1379.0,6837.0,289.0,0.0,280.0,57.0,0.0,4315.0
2023-01-06 19:00:00+01:00,243.0,4676.0,50.0,1372.0,6791.0,291.0,0.0,280.0,57.0,0.0,4299.0
2023-01-06 20:00:00+01:00,242.0,4558.0,50.0,1396.0,6669.0,288.0,40.0,268.0,7.0,0.0,3790.0
2023-01-06 21:00:00+01:00,242.0,4444.0,50.0,1355.0,6590.0,285.0,23.0,251.0,0.0,0.0,3565.0
2023-01-06 22:00:00+01:00,241.0,3913.0,50.0,1356.0,6571.0,279.0,4.0,228.0,0.0,0.0,3552.0
2023-01-06 23:00:00+01:00,241.0,3701.0,50.0,1362.0,6577.0,275.0,8.0,221.0,0.0,0.0,3350.0
2023-01-07 00:00:00+01:00,243.0,3367.0,50.0,1344.0,6474.0,271.0,0.0,204.0,0.0,0.0,3083.0
2023-01-07 01:00:00+01:00,242.0,2981.0,50.0,1355.0,6282.0,268.0,0.0,202.0,0.0,0.0,2828.0
2023-01-07 02:00:00+01:00,241.0,2893.0,50.0,1361.0,6248.0,266.0,0.0,203.0,0.0,0.0,2534.0
2023-01-07 03:00:00+01:00,236.0,2848.0,54.0,1378.0,6325.0,265.0,0.0,203.0,0.0,0.0,2235.0
2023-01-07 04:00:00+01:00,242.0,2887.0,54.0,1383.0,6406.0,265.0,7.0,202.0,0.0,0.0,1898.0
2023-01-07 05:00:00+01:00,242.0,3107.0,55.0,1389.0,6477.0,269.0,6.0,202.0,0.0,0.0,1664.0
2023-01-07 06:00:00+01:00,242.0,4217.0,54.0,1386.0,6652.0,271.0,30.0,203.0,0.0,0.0,1473.0
2023-01-07 07:00:00+01:00,240.0,4433.0,52.0,1385.0,6834.0,269.0,7.0,204.0,0.0,4.0,1271.0
2023-01-07 08:00:00+01:00,240.0,4760.0,52.0,1464.0,7228.0,264.0,34.0,221.0,50.0,173.0,1116.0
2023-01-07 09:00:00+01:00,242.0,4856.0,51.0,1459.0,7126.0,263.0,132.0,242.0,57.0,719.0,985.0
2023-01-07 10:00:00+01:00,242.0,4767.0,52.0,1533.0,7148.0,263.0,137.0,243.0,57.0,1245.0,806.0
2023-01-07 11:00:00+01:00,243.0,4591.0,53.0,1383.0,6906.0,262.0,76.0,247.0,57.0,1623.0,704.0
2023-01-07 12:00:00+01:00,241.0,4592.0,54.0,1389.0,6885.0,258.0,8.0,248.0,57.0,1707.0,580.0
2023-01-07 13:00:00+01:00,242.0,4758.0,54.0,1417.0,7016.0,259.0,0.0,248.0,7.0,1395.0,550.0
2023-01-07 14:00:00+01:00,242.0,4822.0,54.0,1441.0,7157.0,262.0,1.0,248.0,0.0,750.0,665.0
2023-01-07 15:00:00+01:00,241.0,4849.0,54.0,1659.0,7726.0,262.0,72.0,257.0,50.0,203.0,923.0
2023-01-07 16:00:00+01:00,242.0,4795.0,54.0,1778.0,8220.0,265.0,772.0,271.0,57.0,6.0,1200.0
2023-01-07 17:00:00+01:00,241.0,4819.0,54.0,1784.0,8130.0,266.0,927.0,278.0,57.0,0.0,1557.0
2023-01-07 18:00:00+01:00,242.0,4748.0,53.0,1764.0,8002.0,266.0,911.0,279.0,57.0,0.0,2008.0
2023-01-07 19:00:00+01:00,241.0,4708.0,54.0,1648.0,7441.0,268.0,925.0,267.0,57.0,0.0,2381.0
2023-01-07 20:00:00+01:00,242.0,4692.0,54.0,1543.0,7357.0,270.0,868.0,235.0,7.0,0.0,2471.0
2023-01-07 21:00:00+01:00,241.0,4473.0,55.0,1408.0,6983.0,271.0,665.0,228.0,0.0,0.0,2715.0
2023-01-07 22:00:00+01:00,242.0,4119.0,54.0,1410.0,6840.0,270.0,236.0,215.0,0.0,0.0,2885.0
2023-01-07 23:00:00+01:00,242.0,3033.0,54.0,1409.0,6809.0,273.0,67.0,208.0,0.0,0.0,3072.0
2023-01-08 00:00:00+01:00,242.0,2263.0,53.0,1360.0,6702.0,269.0,0.0,197.0,0.0,0.0,3293.0
2023-01-08 01:00:00+01:00,242.0,2040.0,54.0,1351.0,6522.0,264.0,0.0,197.0,0.0,0.0,3502.0
2023-01-08 02:00:00+01:00,241.0,2040.0,54.0,1336.0,6520.0,263.0,0.0,197.0,0.0,0.0,3594.0
2023-01-08 03:00:00+01:00,242.0,2032.0,53.0,1331.0,6490.0,264.0,0.0,197.0,0.0,0.0,3719.0
2023-01-08 04:00:00+01:00,242.0,2038.0,54.0,1336.0,6491.0,265.0,0.0,196.0,0.0,0.0,3808.0
2023-01-08 05:00:00+01:00,241.0,2012.0,54.0,1336.0,6521.0,265.0,0.0,196.0,0.0,0.0,4005.0
2023-01-08 06:00:00+01:00,241.0,2018.0,53.0,1336.0,6527.0,265.0,0.0,196.0,0.0,0.0,4105.0
2023-01-08 07:00:00+01:00,241.0,1909.0,54.0,1327.0,6395.0,264.0,0.0,198.0,0.0,14.0,4250.0
2023-01-08 08:00:00+01:00,243.0,1971.0,53.0,1376.0,6462.0,261.0,0.0,207.0,0.0,258.0,4310.0
2023-01-08 09:00:00+01:00,241.0,2058.0,54.0,1389.0,6529.0,261.0,0.0,218.0,0.0,1005.0,4203.0
2023-01-08 10:00:00+01:00,242.0,2792.0,55.0,1379.0,6636.0,262.0,26.0,233.0,0.0,1582.0,3949.0
2023-01-08 11:00:00+01:00,241.0,3360.0,55.0,1382.0,6639.0,263.0,107.0,244.0,0.0,1841.0,3513.0
2023-01-08 12:00:00+01:00,206.0,3668.0,55.0,1380.0,6693.0,264.0,32.0,245.0,50.0,1611.0,3363.0
2023-01-08 13:00:00+01:00,178.0,3799.0,56.0,1378.0,6651.0,266.0,0.0,243.0,58.0,1138.0,3490.0
2023-01-08 14:00:00+01:00,177.0,3945.0,58.0,1374.0,6641.0,265.0,0.0,236.0,7.0,558.0,3754.0
2023-01-08 15:00:00+01:00,178.0,4011.0,58.0,1369.0,6640.0,265.0,39.0,236.0,0.0,139.0,4075.0
2023-01-08 16:00:00+01:00,199.0,4066.0,58.0,1362.0,6739.0,266.0,417.0,236.0,50.0,4.0,4346.0
2023-01-08 17:00:00+01:00,243.0,3739.0,58.0,1383.0,6761.0,265.0,752.0,236.0,57.0,0.0,4332.0
2023-01-08 18:00:00+01:00,241.0,3762.0,59.0,1383.0,6813.0,268.0,749.0,239.0,57.0,0.0,4324.0
2023-01-08 19:00:00+01:00,241.0,3746.0,59.0,1372.0,6712.0,268.0,1025.0,235.0,57.0,0.0,4341.0
2023-01-08 20:00:00+01:00,242.0,3612.0,58.0,1378.0,6561.0,269.0,1096.0,218.0,57.0,0.0,4012.0
2023-01-08 21:00:00+01:00,242.0,3861.0,58.0,1414.0,6655.0,268.0,560.0,214.0,57.0,0.0,3489.0
2023-01-08 22:00:00+01:00,242.0,3666.0,57.0,1394.0,6636.0,272.0,176.0,200.0,7.0,0.0,3083.0
2023-01-08 23:00:00+01:00,241.0,3005.0,58.0,1371.0,6559.0,279.0,13.0,200.0,0.0,0.0,3018.0
2023-01-09 00:00:00+01:00,241.0,3191.0,56.0,1366.0,6587.0,279.0,0.0,199.0,0.0,0.0,3022.0
2023-01-09 01:00:00+01:00,242.0,3043.0,55.0,1376.0,6595.0,279.0,0.0,196.0,0.0,0.0,2825.0
2023-01-09 02:00:00+01:00,241.0,3094.0,54.0,1373.0,6584.0,276.0,0.0,196.0,0.0,0.0,2796.0
2023-01-09 03:00:00+01:00,241.0,3275.0,53.0,1374.0,6589.0,274.0,0.0,196.0,0.0,0.0,2801.0
2023-01-09 04:00:00+01:00,240.0,3615.0,54.0,1422.0,6741.0,274.0,0.0,196.0,0.0,0.0,2657.0
2023-01-09 05:00:00+01:00,240.0,4152.0,54.0,1560.0,7187.0,275.0,0.0,195.0,0.0,0.0,2506.0
2023-01-09 06:00:00+01:00,242.0,4673.0,54.0,1839.0,7825.0,289.0,0.0,194.0,0.0,0.0,2503.0
2023-01-09 07:00:00+01:00,250.0,5272.0,54.0,1997.0,8575.0,294.0,0.0,193.0,0.0,15.0,2543.0
2023-01-09 08:00:00+01:00,249.0,5437.0,50.0,2033.0,9162.0,294.0,125.0,210.0,50.0,133.0,2614.0
2023-01-09 09:00:00+01:00,249.0,5373.0,50.0,1981.0,9435.0,292.0,243.0,217.0,57.0,427.0,2572.0
2023-01-09 10:00:00+01:00,249.0,5278.0,52.0,1964.0,9518.0,289.0,26.0,232.0,57.0,521.0,2630.0
2023-01-09 11:00:00+01:00,249.0,5243.0,51.0,1970.0,9784.0,291.0,87.0,234.0,7.0,586.0,2514.0
2023-01-09 12:00:00+01:00,249.0,5297.0,51.0,1999.0,9716.0,291.0,158.0,234.0,0.0,575.0,2179.0
2023-01-09 13:00:00+01:00,249.0,5374.0,49.0,2160.0,9797.0,294.0,478.0,234.0,0.0,605.0,1943.0
2023-01-09 14:00:00+01:00,248.0,5259.0,47.0,2191.0,9722.0,292.0,444.0,234.0,0.0,304.0,1948.0
2023-01-09 15:00:00+01:00,249.0,5258.0,49.0,2164.0,9790.0,283.0,501.0,234.0,0.0,100.0,1947.0
2023-01-09 16:00:00+01:00,248.0,5303.0,51.0,2015.0,9974.0,283.0,1003.0,240.0,50.0,3.0,1875.0
2023-01-09 17:00:00+01:00,249.0,5380.0,53.0,1930.0,9689.0,288.0,888.0,241.0,58.0,0.0,1818.0
2023-01-09 18:00:00+01:00,248.0,5353.0,55.0,1920.0,9646.0,290.0,710.0,241.0,57.0,0.0,1732.0
2023-01-09 19:00:00+01:00,249.0,5390.0,54.0,1964.0,9595.0,295.0,603.0,239.0,57.0,0.0,1660.0
2023-01-09 20:00:00+01:00,249.0,5270.0,55.0,1957.0,9574.0,301.0,507.0,240.0,57.0,0.0,1714.0
2023-01-09 21:00:00+01:00,248.0,4966.0,53.0,1870.0,9037.0,303.0,102.0,239.0,7.0,0.0,1676.0
