station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
EHAM,2023-01-01 00:55,57.20,48.20,71.83,210.00,21.00,0.00,29.68,M,6.21,M,FEW,SCT,M,M,1700.00,3200.00,M,M,-RA,M,M,M,M,M,M,57.20,EHAM 010055Z 21021KT 9999 -RA FEW017 SCT032 14/09 Q1005 NOSIG,M
EHAM,2023-01-01 01:55,57.20,48.20,71.83,210.00,23.00,0.00,29.68,M,6.21,M,FEW,M,M,M,3500.00,M,M,M,M,M,M,M,M,M,M,57.20,EHAM 010155Z 21023KT 9999 FEW035 14/09 Q1005 NOSIG,M
EHAM,2023-01-01 02:55,59.00,48.20,67.33,220.00,23.00,0.00,29.71,M,6.21,M,FEW,BKN,M,M,2600.00,3400.00,M,M,M,M,M,M,M,M,M,59.00,EHAM 010255Z 22023KT 9999 FEW026 BKN034 15/09 Q1006 NOSIG,M
EHAM,2023-01-01 03:55,57.20,48.20,71.83,230.00,26.00,0.00,29.71,M,6.21,M,FEW,M,M,M,2400.00,M,M,M,M,M,M,M,M,M,M,57.20,EHAM 010355Z 23026KT 9999 FEW024 14/09 Q1006 NOSIG,M
EHAM,2023-01-01 04:55,53.60,46.40,76.50,230.00,22.00,0.00,29.77,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,COR EHAM 010455Z 23022KT CAVOK 12/08 Q1008 NOSIG,M
EHAM,2023-01-01 05:55,53.60,46.40,76.50,230.00,21.00,0.00,29.77,M,6.21,31.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,EHAM 010555Z 23021G31KT 190V250 CAVOK 12/08 Q1008 NOSIG,M
EHAM,2023-01-01 06:55,53.60,46.40,76.50,220.00,20.00,0.00,29.80,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,EHAM 010655Z 22020KT CAVOK 12/08 Q1009 NOSIG,M
EHAM,2023-01-01 07:55,53.60,46.40,76.50,230.00,19.00,0.00,29.85,M,6.21,M,FEW,M,M,M,2400.00,M,M,M,M,M,M,M,M,M,M,53.60,EHAM 010755Z 23019KT 9999 FEW024 12/08 Q1011 NOSIG,M
EHAM,2023-01-01 08:55,53.60,44.60,71.45,230.00,18.00,0.00,29.88,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,EHAM 010855Z 23018KT 200V270 CAVOK 12/07 Q1012 NOSIG,M
EHAM,2023-01-01 09:55,53.60,46.40,76.50,220.00,17.00,0.00,29.88,M,6.21,27.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,EHAM 010955Z 22017G27KT CAVOK 12/08 Q1012 NOSIG,M
EHAM,2023-01-01 10:55,53.60,46.40,76.50,210.00,16.00,0.00,29.88,M,6.21,M,FEW,M,M,M,2700.00,M,M,M,M,M,M,M,M,M,M,53.60,EHAM 011055Z 21016KT 9999 FEW027 12/08 Q1012 NOSIG,M
EHAM,2023-01-01 11:55,55.40,46.40,71.64,230.00,19.00,0.00,29.91,M,6.21,M,FEW,M,M,M,2700.00,M,M,M,M,M,M,M,M,M,M,55.40,EHAM 011155Z 23019KT 9999 FEW027 13/08 Q1013 NOSIG,M
EHAM,2023-01-01 12:55,53.60,46.40,76.50,230.00,18.00,0.00,29.91,M,6.21,M,FEW,M,M,M,2700.00,M,M,M,M,M,M,M,M,M,M,53.60,EHAM 011255Z 23018KT 9999 FEW027 12/08 Q1013 NOSIG,M
EHAM,2023-01-01 13:55,53.60,46.40,76.50,230.00,13.00,0.00,29.91,M,6.21,M,FEW,M,M,M,2900.00,M,M,M,M,M,M,M,M,M,M,53.60,EHAM 011355Z 23013KT 9999 FEW029 12/08 Q1013 NOSIG,M
EHAM,2023-01-01 14:55,51.80,48.20,87.47,200.00,12.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,EHAM 011455Z 20012KT CAVOK 11/09 Q1013 NOSIG,M
EHAM,2023-01-01 15:55,51.80,48.20,87.47,180.00,9.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,EHAM 011555Z 18009KT CAVOK 11/09 Q1013 NOSIG,M
EHAM,2023-01-01 16:55,51.80,48.20,87.47,170.00,9.00,0.00,29.88,M,6.21,M,FEW,M,M,M,2800.00,M,M,M,M,M,M,M,M,M,M,51.80,EHAM 011655Z 17009KT 150V210 9999 FEW028 11/09 Q1012 NOSIG,M
EHAM,2023-01-01 17:55,53.60,48.20,81.87,170.00,11.00,0.00,29.88,M,6.21,M,FEW,M,M,M,2600.00,M,M,M,M,M,M,M,M,M,M,53.60,EHAM 011755Z 17011KT 140V200 9999 FEW026 12/09 Q1012 NOSIG,M
EHAM,2023-01-01 18:55,51.80,50.00,93.55,160.00,7.00,0.00,29.88,M,6.21,M,FEW,BKN,M,M,1200.00,4900.00,M,M,-RA,M,M,M,M,M,M,51.80,EHAM 011855Z 16007KT 120V210 9999 -RA FEW012 BKN049 11/10 Q1012 NOSIG,M
EHAM,2023-01-01 19:55,51.80,50.00,93.55,170.00,11.00,0.00,29.88,M,4.35,M,FEW,SCT,BKN,M,600.00,800.00,4500.00,M,-DZRA,M,M,M,M,M,M,51.80,EHAM 011955Z 17011KT 130V190 7000 -DZRA FEW006 SCT008 BKN045 11/10 Q1012 BECMG 9999 BKN008,M
EHAM,2023-01-01 20:55,51.80,50.00,93.55,160.00,7.00,0.00,29.83,M,5.59,M,SCT,BKN,M,M,400.00,600.00,M,M,-DZRA,M,M,M,M,M,M,51.80,EHAM 012055Z 16007KT 9000 -DZRA SCT004 BKN006 11/10 Q1010 TEMPO 6000,M
EHAM,2023-01-01 21:55,51.80,50.00,93.55,160.00,9.00,0.00,29.80,M,6.21,M,SCT,BKN,M,M,400.00,800.00,M,M,-DZRA,M,M,M,M,M,M,51.80,EHAM 012155Z 16009KT 9999 -DZRA SCT004 BKN008 11/10 Q1009 TEMPO BKN021,M
EHAM,2023-01-01 22:55,51.80,50.00,93.55,180.00,9.00,0.00,29.80,M,2.49,M,SCT,SCT,BKN,M,400.00,700.00,1700.00,M,DZRA,M,M,M,M,M,M,51.80,EHAM 012255Z 18009KT 4000 DZRA SCT004 SCT007 BKN017 11/10 Q1009 BECMG 9999 TEMPO BKN007,M
EHAM,2023-01-01 23:55,51.80,50.00,93.55,180.00,7.00,0.00,29.77,M,6.21,M,FEW,SCT,BKN,M,400.00,1000.00,1400.00,M,M,M,M,M,M,M,M,51.80,EHAM 012355Z 18007KT 150V210 9999 FEW004 SCT010 BKN014 11/10 Q1008 NOSIG,M
EHAM,2023-01-02 00:55,51.80,51.80,100.00,190.00,11.00,0.00,29.77,M,4.35,M,FEW,SCT,BKN,M,400.00,600.00,1200.00,M,-DZ,M,M,M,M,M,M,51.80,EHAM 020055Z 19011KT 7000 -DZ FEW004 SCT006 BKN012 11/11 Q1008 TEMPO 4000 BKN007,M
EHAM,2023-01-02 01:55,51.80,51.80,100.00,190.00,9.00,0.00,29.74,M,2.49,M,SCT,BKN,M,M,300.00,600.00,M,M,-DZ,M,M,M,M,M,M,51.80,EHAM 020155Z 19009KT 4000 -DZ SCT003 BKN006 11/11 Q1007 TEMPO BKN004,M
EHAM,2023-01-02 02:55,51.80,51.80,100.00,180.00,9.00,0.00,29.74,M,1.86,M,FEW,BKN,BKN,M,200.00,400.00,600.00,M,DZ,M,M,M,M,M,M,51.80,EHAM 020255Z 18009KT 160V220 3000 DZ FEW002 BKN004 BKN006 11/11 Q1007 TEMPO 2500,M
EHAM,2023-01-02 03:55,51.80,51.80,100.00,210.00,12.00,0.00,29.74,M,1.86,M,FEW,SCT,BKN,M,200.00,400.00,600.00,M,DZ,M,M,M,M,M,M,51.80,EHAM 020355Z 21012KT 3000 DZ FEW002 SCT004 BKN006 11/11 Q1007 TEMPO 2500 BKN004,M
EHAM,2023-01-02 04:55,50.00,50.00,100.00,250.00,14.00,0.00,29.77,M,1.86,M,FEW,BKN,BKN,M,200.00,400.00,600.00,M,DZ,M,M,M,M,M,M,50.00,EHAM 020455Z 25014KT 3000 DZ FEW002 BKN004 BKN006 10/10 Q1008 BECMG 29010KT 8000 -DZ TEMPO BKN002,M
EHAM,2023-01-02 05:55,48.20,48.20,100.00,280.00,11.00,0.00,29.80,M,6.21,M,FEW,BKN,M,M,400.00,500.00,M,M,-DZRA,M,M,M,M,M,M,42.94,EHAM 020555Z 28011KT 9999 -DZRA FEW004 BKN005 09/09 Q1009 BECMG SCT005 BKN012,M
EHAM,2023-01-02 06:55,48.20,46.40,93.45,280.00,9.00,0.00,29.85,M,4.35,M,FEW,SCT,BKN,M,400.00,700.00,1500.00,M,-DZRA,M,M,M,M,M,M,43.66,EHAM 020655Z 28009KT 7000 -DZRA FEW004 SCT007 BKN015 09/08 Q1011 TEMPO BKN007 BECMG 9999,M
EHAM,2023-01-02 07:55,48.20,46.40,93.45,250.00,10.00,0.00,29.88,M,6.21,M,FEW,SCT,BKN,M,500.00,800.00,1700.00,M,M,M,M,M,M,M,M,43.28,EHAM 020755Z 25010KT 220V280 9999 FEW005 SCT008 BKN017 09/08 Q1012 BECMG SCT018,M
EHAM,2023-01-02 08:55,48.20,46.40,93.45,250.00,11.00,0.00,29.91,M,6.21,M,FEW,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,42.94,EHAM 020855Z 25011KT 9999 FEW012 09/08 Q1013 NOSIG,M
EHAM,2023-01-02 09:55,48.20,44.60,87.28,230.00,10.00,0.00,29.94,M,6.21,M,FEW,FEW,M,M,1000.00,2000.00,M,M,M,M,M,M,M,M,M,43.28,EHAM 020955Z 23010KT 9999 FEW010 FEW020TCU 09/07 Q1014 NOSIG,M
EHAM,2023-01-02 10:55,48.20,46.40,93.45,230.00,11.00,0.00,29.97,M,6.21,M,FEW,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,42.94,EHAM 021055Z 23011KT 9999 FEW012 09/08 Q1015 NOSIG,M
EHAM,2023-01-02 11:55,50.00,46.40,87.37,230.00,13.00,0.00,29.97,M,6.21,M,FEW,SCT,M,M,1700.00,2200.00,M,M,M,M,M,M,M,M,M,50.00,EHAM 021155Z 23013KT 200V260 9999 FEW017 SCT022 10/08 Q1015 TEMPO 6000 SHRA SCT015CB BKN018,M
EHAM,2023-01-02 12:55,50.00,46.40,87.37,230.00,12.00,0.00,29.97,M,2.49,M,FEW,BKN,FEW,M,800.00,1200.00,1500.00,M,SHRA,M,M,M,M,M,M,50.00,EHAM 021255Z 23012KT 4000 SHRA FEW008 BKN012 FEW015CB 10/08 Q1015 BECMG 9999 BKN018,M
EHAM,2023-01-02 13:55,48.20,46.40,93.45,240.00,10.00,0.00,30.00,M,6.21,M,FEW,SCT,FEW,BKN,700.00,1200.00,1800.00,3000.00,M,M,M,M,M,M,M,43.28,EHAM 021355Z 24010KT 9999 FEW007 SCT012 FEW018CB BKN030 09/08 Q1016 TEMPO BKN012,M
EHAM,2023-01-02 14:55,48.20,44.60,87.28,270.00,12.00,0.00,30.03,M,6.21,M,FEW,BKN,M,M,1700.00,4200.00,M,M,M,M,M,M,M,M,M,42.62,EHAM 021455Z 27012KT 9999 FEW017TCU BKN042 09/07 Q1017 NOSIG,M
EHAM,2023-01-02 15:55,46.40,42.80,87.19,260.00,8.00,0.00,30.06,M,6.21,M,FEW,BKN,M,M,1600.00,4200.00,M,M,M,M,M,M,M,M,M,41.85,EHAM 021555Z 26008KT 9999 FEW016 BKN042 08/06 Q1018 NOSIG,M
EHAM,2023-01-02 16:55,42.80,41.00,93.30,270.00,8.00,0.00,30.09,M,6.21,M,FEW,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,37.42,EHAM 021655Z 27008KT 9999 FEW016 06/05 Q1019 NOSIG,M
EHAM,2023-01-02 17:55,42.80,41.00,93.30,260.00,7.00,0.00,30.12,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,37.94,EHAM 021755Z 26007KT 9999 FEW018 06/05 Q1020 NOSIG,M
EHAM,2023-01-02 18:55,42.80,39.20,86.99,250.00,8.00,0.00,30.15,M,6.21,M,FEW,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,37.42,EHAM 021855Z 25008KT 9999 FEW022 06/04 Q1021 NOSIG,M
EHAM,2023-01-02 19:55,42.80,39.20,86.99,250.00,6.00,0.00,30.18,M,6.21,M,FEW,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,38.54,EHAM 021955Z 25006KT 9999 FEW022 06/04 Q1022 NOSIG,M
EHAM,2023-01-02 20:55,41.00,37.40,86.89,240.00,7.00,0.00,30.18,M,6.21,M,FEW,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,35.75,EHAM 022055Z 24007KT 9999 FEW023 05/03 Q1022 NOSIG,M
EHAM,2023-01-02 21:55,41.00,37.40,86.89,260.00,6.00,0.00,30.21,M,6.21,M,FEW,M,M,M,2400.00,M,M,M,M,M,M,M,M,M,M,36.37,EHAM 022155Z 26006KT 9999 FEW024 05/03 Q1023 NOSIG,M
EHAM,2023-01-02 22:55,37.40,33.80,86.69,240.00,5.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,32.81,EHAM 022255Z 24005KT 190V260 CAVOK 03/01 Q1024 NOSIG,M
EHAM,2023-01-02 23:55,37.40,35.60,93.14,220.00,7.00,0.00,30.24,M,6.21,M,FEW,M,M,M,3900.00,M,M,M,M,M,M,M,M,M,M,31.36,EHAM 022355Z 22007KT 9999 FEW039 03/02 Q1024 NOSIG,M
EHAM,2023-01-03 00:55,35.60,33.80,93.08,250.00,4.00,0.00,30.27,M,6.21,M,FEW,M,M,M,3700.00,M,M,M,M,M,M,M,M,M,M,31.62,EHAM 030055Z 25004KT 9999 FEW037 02/01 Q1025 NOSIG,M
EHAM,2023-01-03 01:55,33.80,33.80,100.00,180.00,5.00,0.00,30.27,M,6.21,M,FEW,M,M,M,3200.00,M,M,M,M,M,M,M,M,M,M,28.53,EHAM 030155Z 18005KT 9999 FEW032 01/01 Q1025 NOSIG,M
EHAM,2023-01-03 02:55,35.60,33.80,93.08,160.00,2.00,0.00,30.27,M,6.21,M,FEW,M,M,M,2900.00,M,M,M,M,M,M,M,M,M,M,35.60,EHAM 030255Z 16002KT 9999 FEW029 02/01 Q1025 NOSIG,M
EHAM,2023-01-03 03:55,35.60,35.60,100.00,160.00,6.00,0.00,30.27,M,6.21,M,FEW,M,M,M,2800.00,M,M,M,M,M,M,M,M,M,M,29.87,EHAM 030355Z 16006KT 9999 FEW028 02/02 Q1025 TEMPO 1000 BCFG BKN001,M
EHAM,2023-01-03 04:55,33.80,33.80,100.00,180.00,5.00,0.00,30.27,M,0.25,M,BKN,M,M,M,0.00,M,M,M,BCFG,M,M,M,M,M,M,28.53,EHAM 030455Z 18005KT 0400 R18C/0450D R27/0350N R18R/P2000N R06/0600N BCFG BKN000 01/01 Q1025 BECMG 6000 NSW NSC,M
EHAM,2023-01-03 05:55,35.60,35.60,100.00,160.00,7.00,0.00,30.27,M,0.43,M,BKN,M,M,M,0.00,M,M,M,BCFG,M,M,M,M,M,M,29.17,EHAM 030555Z 16007KT 0700 R18C/1400U R27/0500N R18R/0650N R06/1700U BCFG BKN000 02/02 Q1025 BECMG 6000 NSW NSC,M
EHAM,2023-01-03 06:55,37.40,37.40,100.00,120.00,3.00,0.00,30.27,M,2.49,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,34.86,EHAM 030655Z 12003KT 4000 BR NSC 03/03 Q1025 TEMPO RA,M
EHAM,2023-01-03 07:55,39.20,39.20,100.00,150.00,7.00,0.00,30.27,M,4.35,M,FEW,BKN,M,M,1800.00,3700.00,M,M,-RA,M,M,M,M,M,M,33.56,EHAM 030755Z 15007KT 7000 -RA FEW018 BKN037 04/04 Q1025 TEMPO 4500 RA BKN018,M
EHAM,2023-01-03 08:55,41.00,41.00,100.00,160.00,9.00,0.00,30.27,M,4.35,M,FEW,SCT,M,M,400.00,600.00,M,M,-RA,M,M,M,M,M,M,34.70,EHAM 030855Z 16009KT 120V190 7000 -RA FEW004 SCT006 05/05 Q1025 BECMG BKN006,M
EHAM,2023-01-03 09:55,42.80,42.80,100.00,170.00,12.00,0.00,30.27,M,3.73,M,FEW,BKN,BKN,M,400.00,600.00,1400.00,M,M,M,M,M,M,M,M,35.75,EHAM 030955Z 17012KT 6000 FEW004 BKN006 BKN014 06/06 Q1025 NOSIG,M
EHAM,2023-01-03 10:55,44.60,44.60,100.00,180.00,13.00,0.00,30.27,M,4.35,M,FEW,BKN,BKN,M,500.00,600.00,2000.00,M,M,M,M,M,M,M,M,37.71,EHAM 031055Z 18013KT 150V210 7000 FEW005 BKN006 BKN020 07/07 Q1025 NOSIG,M
EHAM,2023-01-03 11:55,46.40,44.60,93.40,190.00,13.00,0.00,30.24,M,5.59,M,FEW,BKN,M,M,700.00,800.00,M,M,M,M,M,M,M,M,M,40.02,EHAM 031155Z 19013KT 160V220 9000 FEW007 BKN008 08/07 Q1024 BECMG BKN012,M
EHAM,2023-01-03 12:55,46.40,44.60,93.40,190.00,13.00,0.00,30.24,M,6.21,M,FEW,BKN,M,M,900.00,1200.00,M,M,M,M,M,M,M,M,M,40.02,EHAM 031255Z 19013KT 9999 FEW009 BKN012 08/07 Q1024 NOSIG,M
EHAM,2023-01-03 13:55,46.40,44.60,93.40,190.00,13.00,0.00,30.21,M,6.21,M,FEW,SCT,M,M,1200.00,1400.00,M,M,M,M,M,M,M,M,M,40.02,EHAM 031355Z 19013KT 9999 FEW012 SCT014 08/07 Q1023 NOSIG,M
EHAM,2023-01-03 14:55,46.40,44.60,93.40,180.00,13.00,0.00,30.21,M,6.21,M,FEW,SCT,M,M,1300.00,1400.00,M,M,M,M,M,M,M,M,M,40.02,EHAM 031455Z 18013KT 9999 FEW013 SCT014 08/07 Q1023 NOSIG,M
EHAM,2023-01-03 15:55,46.40,44.60,93.40,180.00,14.00,0.00,30.21,M,6.21,M,FEW,BKN,M,M,1300.00,1500.00,M,M,M,M,M,M,M,M,M,39.72,EHAM 031555Z 18014KT 9999 FEW013 BKN015 08/07 Q1023 TEMPO SCT015,M
EHAM,2023-01-03 16:55,46.40,42.80,87.19,170.00,14.00,0.00,30.18,M,6.21,M,SCT,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,39.72,EHAM 031655Z 17014KT 9999 SCT016 08/06 Q1022 NOSIG,M
EHAM,2023-01-03 17:55,46.40,42.80,87.19,180.00,15.00,0.00,30.15,M,6.21,M,SCT,BKN,M,M,1600.00,2300.00,M,M,-RADZ,M,M,M,M,M,M,39.45,EHAM 031755Z 18015KT 150V210 9999 -RADZ SCT016 BKN023 08/06 Q1021 NOSIG,M
EHAM,2023-01-03 18:55,48.20,44.60,87.28,180.00,17.00,0.00,30.15,M,6.21,M,SCT,BKN,M,M,1600.00,2600.00,M,M,-RADZ,M,M,M,M,M,M,41.30,EHAM 031855Z 18017KT 9999 -RADZ SCT016 BKN026 09/07 Q1021 TEMPO BKN020,M
EHAM,2023-01-03 19:55,48.20,44.60,87.28,180.00,18.00,0.00,30.12,M,6.21,M,SCT,BKN,M,M,1600.00,2800.00,M,M,M,M,M,M,M,M,M,41.07,EHAM 031955Z 18018KT 150V210 9999 SCT016 BKN028 09/07 Q1020 NOSIG,M
EHAM,2023-01-03 20:55,48.20,44.60,87.28,190.00,21.00,0.00,30.09,M,6.21,M,SCT,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,40.46,EHAM 032055Z 19021KT 160V220 9999 SCT016 09/07 Q1019 NOSIG,M
EHAM,2023-01-03 21:55,48.20,44.60,87.28,190.00,21.00,0.00,30.06,M,6.21,M,FEW,BKN,M,M,1700.00,2500.00,M,M,M,M,M,M,M,M,M,40.46,EHAM 032155Z 19021KT 9999 FEW017 BKN025 09/07 Q1018 NOSIG,M
EHAM,2023-01-03 22:55,48.20,46.40,93.45,190.00,23.00,0.00,30.03,M,3.73,M,FEW,BKN,M,M,700.00,1400.00,M,M,-DZRA,M,M,M,M,M,M,40.09,EHAM 032255Z 19023KT 160V220 6000 -DZRA FEW007 BKN014 09/08 Q1017 TEMPO 4500,M
EHAM,2023-01-03 23:55,48.20,46.40,93.45,190.00,22.00,0.00,30.00,M,4.35,32.00,BKN,BKN,M,M,800.00,1600.00,M,M,-RA,M,M,M,M,M,M,40.27,EHAM 032355Z 19022G32KT 7000 -RA BKN008 BKN016 09/08 Q1016 TEMPO 8000 BKN012,M
EHAM,2023-01-04 00:55,48.20,48.20,100.00,190.00,22.00,0.00,29.94,M,3.11,M,FEW,BKN,M,M,500.00,700.00,M,M,-DZRA,M,M,M,M,M,M,40.27,EHAM 040055Z 19022KT 5000 -DZRA FEW005 BKN007 09/09 Q1014 TEMPO 4000,M
EHAM,2023-01-04 01:55,50.00,48.20,93.50,210.00,22.00,0.00,29.94,M,5.59,M,FEW,BKN,M,M,600.00,700.00,M,M,-RADZ,M,M,M,M,M,M,50.00,COR EHAM 040155Z 21022KT 9000 -RADZ FEW006 BKN007 10/09 Q1014 TEMPO 7000,M
EHAM,2023-01-04 02:55,51.80,50.00,93.55,210.00,23.00,0.00,29.91,M,6.21,M,SCT,BKN,M,M,800.00,1000.00,M,M,M,M,M,M,M,M,M,51.80,EHAM 040255Z 21023KT 9999 SCT008 BKN010 11/10 Q1013 TEMPO 7000 -DZ,M
EHAM,2023-01-04 03:55,51.80,50.00,93.55,220.00,25.00,0.00,29.91,M,4.35,M,FEW,BKN,M,M,600.00,700.00,M,M,-DZ,M,M,M,M,M,M,51.80,EHAM 040355Z 22025KT 7000 -DZ FEW006 BKN007 11/10 Q1013 TEMPO 9000,M
EHAM,2023-01-04 04:55,53.60,50.00,87.56,230.00,27.00,0.00,29.88,M,6.21,M,FEW,BKN,M,M,900.00,1200.00,M,M,-RADZ,M,M,M,M,M,M,53.60,EHAM 040455Z 23027KT 9999 -RADZ FEW009 BKN012 12/10 Q1012 TEMPO 6000 BKN009,M
EHAM,2023-01-04 05:55,53.60,51.80,93.60,220.00,25.00,0.00,29.85,M,5.59,36.00,FEW,BKN,M,M,700.00,1100.00,M,M,-RADZ,M,M,M,M,M,M,53.60,EHAM 040555Z 22025G36KT 180V240 9000 -RADZ FEW007 BKN011 12/11 Q1011 TEMPO 7000,M
EHAM,2023-01-04 06:55,53.60,51.80,93.60,230.00,27.00,0.00,29.85,M,6.21,M,FEW,BKN,M,M,900.00,1100.00,M,M,-RADZ,M,M,M,M,M,M,53.60,EHAM 040655Z 23027KT 9999 -RADZ FEW009 BKN011 12/11 Q1011 TEMPO 7000,M
EHAM,2023-01-04 07:55,53.60,51.80,93.60,230.00,26.00,0.00,29.85,M,1.86,36.00,SCT,BKN,M,M,800.00,1000.00,M,M,RADZ,M,M,M,M,M,M,53.60,EHAM 040755Z 23026G36KT 3000 RADZ SCT008 BKN010 12/11 Q1011 TEMPO 6000 -RADZ BKN009,M
EHAM,2023-01-04 08:55,53.60,51.80,93.60,230.00,28.00,0.00,29.85,M,2.17,40.00,FEW,BKN,M,M,500.00,700.00,M,M,RADZ,M,M,M,M,M,M,53.60,EHAM 040855Z 23028G40KT 200V270 3500 RADZ FEW005 BKN007 12/11 Q1011 TEMPO 6000 -RADZ,M
EHAM,2023-01-04 09:55,53.60,51.80,93.60,240.00,28.00,0.00,29.88,M,5.59,39.00,FEW,BKN,M,M,600.00,700.00,M,M,-DZRA,M,M,M,M,M,M,53.60,EHAM 040955Z 24028G39KT 210V270 9000 -DZRA FEW006 BKN007 12/11 Q1012 TEMPO 7000,M
EHAM,2023-01-04 10:55,53.60,51.80,93.60,230.00,26.00,0.00,29.88,M,5.59,36.00,FEW,BKN,M,M,600.00,700.00,M,M,-DZRA,M,M,M,M,M,M,53.60,EHAM 041055Z 23026G36KT 200V260 9000 -DZRA FEW006 BKN007 12/11 Q1012 TEMPO 5000,M
EHAM,2023-01-04 11:55,55.40,51.80,87.65,240.00,27.00,0.00,29.85,M,6.21,38.00,FEW,SCT,BKN,M,600.00,800.00,1000.00,M,M,M,M,M,M,M,M,55.40,EHAM 041155Z 24027G38KT 190V260 9999 FEW006 SCT008 BKN010 13/11 Q1011 TEMPO 7000 -DZRA BKN009,M
EHAM,2023-01-04 12:55,55.40,50.00,81.99,240.00,25.00,0.00,29.85,M,6.21,38.00,FEW,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,55.40,EHAM 041255Z 24025G38KT 200V260 9999 FEW008 13/10 Q1011 NOSIG,M
EHAM,2023-01-04 13:55,55.40,50.00,81.99,240.00,28.00,0.00,29.85,M,6.21,39.00,FEW,SCT,M,M,1100.00,3800.00,M,M,M,M,M,M,M,M,M,55.40,EHAM 041355Z 24028G39KT 9999 FEW011 SCT038 13/10 Q1011 NOSIG,M
EHAM,2023-01-04 14:55,55.40,50.00,81.99,240.00,25.00,0.00,29.85,M,6.21,36.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,EHAM 041455Z 24025G36KT CAVOK 13/10 Q1011 NOSIG,M
EHAM,2023-01-04 15:55,55.40,50.00,81.99,240.00,24.00,0.00,29.85,M,6.21,M,FEW,SCT,M,M,2100.00,3500.00,M,M,M,M,M,M,M,M,M,55.40,EHAM 041555Z 24024KT 210V270 9999 FEW021 SCT035 13/10 Q1011 NOSIG,M
EHAM,2023-01-04 16:55,55.40,48.20,76.66,240.00,26.00,0.00,29.85,M,6.21,38.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,EHAM 041655Z 24026G38KT 210V270 CAVOK 13/09 Q1011 NOSIG,M
EHAM,2023-01-04 17:55,53.60,48.20,81.87,240.00,25.00,0.00,29.88,M,6.21,35.00,BKN,M,M,M,4700.00,M,M,M,M,M,M,M,M,M,M,53.60,EHAM 041755Z 24025G35KT 210V270 9999 BKN047 12/09 Q1012 NOSIG,M
EHAM,2023-01-04 18:55,53.60,48.20,81.87,240.00,24.00,0.00,29.88,M,6.21,34.00,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,53.60,EHAM 041855Z 24024G34KT 210V280 9999 FEW015 12/09 Q1012 NOSIG,M
EHAM,2023-01-04 19:55,53.60,48.20,81.87,240.00,24.00,0.00,29.88,M,6.21,M,FEW,SCT,M,M,2300.00,3600.00,M,M,M,M,M,M,M,M,M,53.60,EHAM 041955Z 24024KT 210V280 9999 FEW023 SCT036 12/09 Q1012 NOSIG,M
EHAM,2023-01-04 20:55,51.80,48.20,87.47,250.00,26.00,0.00,29.91,M,6.21,M,FEW,SCT,M,M,3000.00,3600.00,M,M,M,M,M,M,M,M,M,51.80,EHAM 042055Z 25026KT 9999 FEW030 SCT036 11/09 Q1013 NOSIG,M
EHAM,2023-01-04 21:55,51.80,46.40,81.74,250.00,23.00,0.00,29.91,M,6.21,M,FEW,M,M,M,4200.00,M,M,M,M,M,M,M,M,M,M,51.80,EHAM 042155Z 25023KT 9999 FEW042 11/08 Q1013 NOSIG,M
EHAM,2023-01-04 22:55,51.80,46.40,81.74,250.00,21.00,0.00,29.94,M,6.21,M,FEW,M,M,M,2900.00,M,M,M,M,M,M,M,M,M,M,51.80,EHAM 042255Z 25021KT 9999 FEW029 11/08 Q1014 NOSIG,M
