station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LFPB,2022-01-01 00:00,46.40,46.40,100.00,110.00,5.00,0.00,30.30,M,2.73,M,FEW,M,M,M,3800.00,M,M,M,BR,M,M,M,M,M,M,43.50,LFPB 010000Z AUTO 11005KT 4400 BR FEW038 08/08 Q1026 TEMPO 2000 BR BKN005,M
LFPB,2022-01-01 01:00,51.80,50.00,93.55,140.00,5.00,0.00,30.30,M,3.73,M,FEW,OVC,M,M,500.00,3500.00,M,M,M,M,M,M,M,M,M,51.80,LFPB 010100Z AUTO 14005KT 6000 FEW005 OVC035 11/10 Q1026 TEMPO 2000 BR BKN005,M
LFPB,2022-01-01 02:00,50.00,50.00,100.00,130.00,8.00,0.00,30.30,M,3.73,M,FEW,OVC,M,M,400.00,3600.00,M,M,M,M,M,M,M,M,M,50.00,LFPB 010200Z AUTO 13008KT 6000 FEW004 OVC036 10/10 Q1026 TEMPO 2000 BR BKN005,M
LFPB,2022-01-01 03:00,50.00,50.00,100.00,120.00,4.00,0.00,30.27,M,2.55,M,OVC,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,50.00,LFPB 010300Z AUTO 12004KT 4100 BR OVC002 10/10 Q1025 TEMPO 2000 BR,M
LFPB,2022-01-01 04:00,50.00,48.20,93.50,120.00,5.00,0.00,30.30,M,3.11,M,OVC,M,M,M,400.00,M,M,M,BR,M,M,M,M,M,M,50.00,LFPB 010400Z AUTO 12005KT 5000 BR OVC004 10/09 Q1026 TEMPO 2000 BR,M
LFPB,2022-01-01 05:00,50.00,48.20,93.50,140.00,6.00,0.00,30.27,M,0.93,M,VV ,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,50.00,LFPB 010500Z AUTO 14006KT 1500 1200 R27/P2000 R09/2000D R07/1500N BR VV/// 10/09 Q1025 TEMPO BKN004,M
LFPB,2022-01-01 06:00,48.20,48.20,100.00,140.00,7.00,0.00,30.27,M,3.11,M,OVC,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,44.53,LFPB 010600Z AUTO 14007KT 5000 BR OVC002 09/09 Q1025 TEMPO 0800 FG VV///,M
LFPB,2022-01-01 07:00,48.20,46.40,93.45,120.00,5.00,0.00,30.27,M,3.73,M,OVC,M,M,M,300.00,M,M,M,M,M,M,M,M,M,M,45.63,LFPB 010700Z AUTO 12005KT 6000 OVC003 09/08 Q1025 TEMPO 0800 FG VV///,M
LFPB,2022-01-01 08:00,44.60,44.60,100.00,110.00,5.00,0.00,30.27,M,2.24,M,FEW,M,M,M,400.00,M,M,M,-RA BR,M,M,M,M,M,M,41.36,LFPB 010800Z AUTO 11005KT 3600 -RA BR FEW004 07/07 Q1025 TEMPO 0800 FG VV///,M
LFPB,2022-01-01 09:00,46.40,46.40,100.00,100.00,4.00,0.00,30.27,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.24,LFPB 010900Z AUTO 10004KT CAVOK 08/08 Q1025 NOSIG,M
LFPB,2022-01-01 10:00,50.00,46.40,87.37,130.00,7.00,0.00,30.27,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LFPB 011000Z AUTO 13007KT CAVOK 10/08 Q1025 NOSIG,M
LFPB,2022-01-01 11:00,53.60,48.20,81.87,160.00,9.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,LFPB 011100Z AUTO 16009KT CAVOK 12/09 Q1024 NOSIG,M
LFPB,2022-01-01 12:00,55.40,48.20,76.66,150.00,9.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,LFPB 011200Z AUTO 15009KT CAVOK 13/09 Q1024 NOSIG,M
LFPB,2022-01-01 13:00,57.20,46.40,67.12,150.00,5.00,0.00,30.21,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,LFPB 011300Z AUTO 15005KT 130V200 CAVOK 14/08 Q1023 NOSIG,M
LFPB,2022-01-01 14:00,59.00,46.40,62.92,180.00,7.00,0.00,30.21,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,LFPB 011400Z AUTO 18007KT 150V230 CAVOK 15/08 Q1023 NOSIG,M
LFPB,2022-01-01 15:00,55.40,46.40,71.64,170.00,6.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,LFPB 011500Z AUTO 17006KT CAVOK 13/08 Q1022 NOSIG,M
LFPB,2022-01-01 16:00,53.60,46.40,76.50,200.00,4.00,0.00,30.21,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,LFPB 011600Z AUTO 20004KT 160V240 CAVOK 12/08 Q1023 NOSIG,M
LFPB,2022-01-01 17:00,51.80,44.60,76.34,150.00,5.00,0.00,30.21,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,LFPB 011700Z AUTO 15005KT CAVOK 11/07 Q1023 NOSIG,M
LFPB,2022-01-01 18:00,50.00,46.40,87.37,140.00,5.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LFPB 011800Z AUTO 14005KT CAVOK 10/08 Q1022 NOSIG,M
LFPB,2022-01-01 19:00,51.80,46.40,81.74,M,2.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,LFPB 011900Z AUTO VRB02KT CAVOK 11/08 Q1022 NOSIG,M
LFPB,2022-01-01 20:00,48.20,44.60,87.28,130.00,4.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,46.34,LFPB 012000Z AUTO 13004KT CAVOK 09/07 Q1022 NOSIG,M
LFPB,2022-01-01 21:00,46.40,42.80,87.19,120.00,4.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.24,LFPB 012100Z AUTO 12004KT CAVOK 08/06 Q1022 NOSIG,M
LFPB,2022-01-01 22:00,46.40,44.60,93.40,120.00,4.00,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.24,LFPB 012200Z AUTO 12004KT CAVOK 08/07 Q1021 NOSIG,M
LFPB,2022-01-01 23:00,46.40,44.60,93.40,140.00,4.00,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.24,LFPB 012300Z AUTO 14004KT CAVOK 08/07 Q1021 NOSIG,M
LFPB,2022-01-02 00:00,48.20,44.60,87.28,130.00,4.00,0.00,30.12,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,46.34,LFPB 020000Z AUTO 13004KT CAVOK 09/07 Q1020 NOSIG,M
LFPB,2022-01-02 01:00,48.20,46.40,93.45,140.00,5.00,0.00,30.12,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,45.63,LFPB 020100Z AUTO 14005KT CAVOK 09/08 Q1020 NOSIG,M
LFPB,2022-01-02 02:00,50.00,44.60,81.61,150.00,5.00,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LFPB 020200Z AUTO 15005KT CAVOK 10/07 Q1019 NOSIG,M
LFPB,2022-01-02 03:00,50.00,44.60,81.61,130.00,5.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LFPB 020300Z AUTO 13005KT CAVOK 10/07 Q1018 NOSIG,M
LFPB,2022-01-02 04:00,50.00,44.60,81.61,170.00,4.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LFPB 020400Z AUTO 17004KT CAVOK 10/07 Q1018 NOSIG,M
LFPB,2022-01-02 05:00,50.00,44.60,81.61,160.00,7.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LFPB 020500Z AUTO 16007KT CAVOK 10/07 Q1017 NOSIG,M
LFPB,2022-01-02 06:00,51.80,44.60,76.34,190.00,6.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,LFPB 020600Z AUTO 19006KT CAVOK 11/07 Q1017 NOSIG,M
LFPB,2022-01-02 07:00,51.80,42.80,71.26,200.00,3.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,LFPB 020700Z AUTO 20003KT 170V230 CAVOK 11/06 Q1017 NOSIG,M
LFPB,2022-01-02 08:00,53.60,46.40,76.50,230.00,10.00,0.00,30.03,M,6.21,M,SCT,M,M,M,2400.00,M,M,M,M,M,M,M,M,M,M,53.60,LFPB 020800Z AUTO 23010KT 9999 SCT024 12/08 Q1017 NOSIG,M
LFPB,2022-01-02 09:00,53.60,46.40,76.50,220.00,11.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,LFPB 020900Z AUTO 22011KT CAVOK 12/08 Q1018 NOSIG,M
LFPB,2022-01-02 10:00,55.40,48.20,76.66,230.00,11.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,LFPB 021000Z AUTO 23011KT CAVOK 13/09 Q1018 BECMG 23015G25KT,M
LFPB,2022-01-02 11:00,57.20,48.20,71.83,220.00,12.00,0.00,30.06,M,6.21,M,OVC,M,M,M,4100.00,M,M,M,M,M,M,M,M,M,M,57.20,LFPB 021100Z AUTO 22012KT 9999 OVC041 14/09 Q1018 BECMG 23015G25KT,M
LFPB,2022-01-02 12:00,57.20,48.20,71.83,210.00,15.00,0.00,30.06,M,6.21,M,FEW,OVC,M,M,2500.00,4300.00,M,M,M,M,M,M,M,M,M,57.20,LFPB 021200Z AUTO 21015KT 9999 FEW025 OVC043 14/09 Q1018 TEMPO 23015G25KT,M
LFPB,2022-01-02 13:00,57.20,48.20,71.83,210.00,10.00,0.00,30.06,M,6.21,M,BKN,BKN,OVC,M,2500.00,3100.00,4300.00,M,M,M,M,M,M,M,M,57.20,LFPB 021300Z AUTO 21010KT 9999 BKN025 BKN031 OVC043 14/09 Q1018 TEMPO 23015G25KT,M
LFPB,2022-01-02 14:00,57.20,50.00,76.82,200.00,10.00,0.00,30.03,M,6.21,M,SCT,BKN,OVC,M,2600.00,3100.00,4500.00,M,M,M,M,M,M,M,M,57.20,LFPB 021400Z AUTO 20010KT 9999 SCT026 BKN031 OVC045 14/10 Q1017 TEMPO 23015G25KT,M
LFPB,2022-01-02 15:00,57.20,50.00,76.82,210.00,12.00,0.00,30.03,M,6.21,M,BKN,BKN,OVC,M,2800.00,4000.00,4900.00,M,M,M,M,M,M,M,M,57.20,LFPB 021500Z AUTO 21012KT 180V240 9999 BKN028 BKN040 OVC049 14/10 Q1017 TEMPO 23015G25KT,M
LFPB,2022-01-02 16:00,57.20,50.00,76.82,210.00,11.00,0.00,30.03,M,6.21,M,BKN,BKN,BKN,M,2900.00,3500.00,4400.00,M,M,M,M,M,M,M,M,57.20,LFPB 021600Z AUTO 21011KT 9999 BKN029 BKN035 BKN044 14/10 Q1017 TEMPO 23015G25KT,M
LFPB,2022-01-02 17:00,57.20,50.00,76.82,200.00,15.00,0.00,30.03,M,6.21,M,BKN,BKN,BKN,M,2800.00,3300.00,4500.00,M,M,M,M,M,M,M,M,57.20,LFPB 021700Z AUTO 20015KT 9999 BKN028 BKN033 BKN045 14/10 Q1017 TEMPO 23015G25KT,M
LFPB,2022-01-02 18:00,57.20,48.20,71.83,210.00,13.00,0.00,30.03,M,6.21,M,OVC,M,M,M,3100.00,M,M,M,M,M,M,M,M,M,M,57.20,LFPB 021800Z AUTO 21013KT 180V240 9999 OVC031 14/09 Q1017 TEMPO 23015G25KT,M
LFPB,2022-01-02 19:00,57.20,48.20,71.83,220.00,15.00,0.00,30.06,M,6.21,M,OVC,M,M,M,3300.00,M,M,M,M,M,M,M,M,M,M,57.20,LFPB 021900Z AUTO 22015KT 9999 OVC033 14/09 Q1018 TEMPO 23020G35KT,M
LFPB,2022-01-02 20:00,57.20,48.20,71.83,230.00,17.00,0.00,30.06,M,6.21,M,BKN,BKN,OVC,M,3100.00,3700.00,4500.00,M,M,M,M,M,M,M,M,57.20,LFPB 022000Z AUTO 23017KT 200V260 9999 BKN031 BKN037 OVC045 14/09 Q1018 TEMPO 23020G35KT,M
LFPB,2022-01-02 21:00,55.40,46.40,71.64,230.00,14.00,0.00,30.09,M,6.21,24.00,SCT,SCT,OVC,M,3400.00,4100.00,19000.00,M,M,M,M,M,M,M,M,55.40,LFPB 022100Z AUTO 23014G24KT 9999 SCT034 SCT041 OVC190 13/08 Q1019 TEMPO 23020G35KT,M
LFPB,2022-01-02 22:00,55.40,46.40,71.64,230.00,13.00,0.00,30.09,M,6.21,M,SCT,BKN,BKN,M,3000.00,3500.00,17000.00,M,M,M,M,M,M,M,M,55.40,LFPB 022200Z AUTO 23013KT 9999 SCT030 BKN035 BKN170 13/08 Q1019 TEMPO 23015G25KT,M
LFPB,2022-01-02 23:00,53.60,46.40,76.50,230.00,13.00,0.00,30.09,M,6.21,M,FEW,BKN,BKN,M,2600.00,16000.00,19000.00,M,M,M,M,M,M,M,M,53.60,LFPB 022300Z AUTO 23013KT 9999 FEW026 BKN160 BKN190 12/08 Q1019 TEMPO 23015G25KT,M
LFPB,2022-01-03 00:00,53.60,46.40,76.50,230.00,12.00,0.00,30.09,M,6.21,M,BKN,BKN,BKN,M,2500.00,3000.00,16000.00,M,M,M,M,M,M,M,M,53.60,LFPB 030000Z AUTO 23012KT 9999 BKN025 BKN030 BKN160 12/08 Q1019 NOSIG,M
LFPB,2022-01-03 01:00,53.60,46.40,76.50,230.00,12.00,0.00,30.09,M,6.21,M,BKN,BKN,M,M,2700.00,22000.00,M,M,M,M,M,M,M,M,M,53.60,LFPB 030100Z AUTO 23012KT 9999 BKN027 BKN220 12/08 Q1019 NOSIG,M
LFPB,2022-01-03 02:00,53.60,46.40,76.50,230.00,10.00,0.00,30.09,M,6.21,M,SCT,BKN,BKN,M,2500.00,3700.00,4900.00,M,M,M,M,M,M,M,M,53.60,LFPB 030200Z AUTO 23010KT 9999 SCT025 BKN037 BKN049 12/08 Q1019 NOSIG,M
LFPB,2022-01-03 03:00,51.80,46.40,81.74,220.00,10.00,0.00,30.09,M,6.21,M,FEW,SCT,BKN,M,2900.00,16000.00,19000.00,M,M,M,M,M,M,M,M,51.80,LFPB 030300Z AUTO 22010KT 9999 FEW029 SCT160 BKN190 11/08 Q1019 NOSIG,M
LFPB,2022-01-03 04:00,51.80,46.40,81.74,220.00,9.00,0.00,30.09,M,6.21,M,BKN,BKN,M,M,2600.00,15000.00,M,M,M,M,M,M,M,M,M,51.80,LFPB 030400Z AUTO 22009KT 9999 BKN026 BKN150 11/08 Q1019 NOSIG,M
LFPB,2022-01-03 05:00,53.60,46.40,76.50,210.00,10.00,0.00,30.06,M,6.21,M,BKN,BKN,BKN,M,2500.00,3000.00,3600.00,M,M,M,M,M,M,M,M,53.60,LFPB 030500Z AUTO 21010KT 9999 BKN025 BKN030 BKN036 12/08 Q1018 NOSIG,M
LFPB,2022-01-03 06:00,53.60,46.40,76.50,200.00,9.00,0.00,30.06,M,6.21,M,BKN,OVC,M,M,2300.00,2900.00,M,M,M,M,M,M,M,M,M,53.60,LFPB 030600Z AUTO 20009KT 9999 BKN023 OVC029 12/08 Q1018 NOSIG,M
LFPB,2022-01-03 07:00,51.80,46.40,81.74,210.00,9.00,0.00,30.06,M,6.21,M,BKN,BKN,BKN,M,2200.00,3600.00,5600.00,M,M,M,M,M,M,M,M,51.80,LFPB 030700Z AUTO 21009KT 9999 BKN022 BKN036 BKN056 11/08 Q1018 NOSIG,M
LFPB,2022-01-03 08:00,51.80,46.40,81.74,200.00,10.00,0.00,30.03,M,6.21,M,BKN,BKN,BKN,M,2100.00,6600.00,9000.00,M,M,M,M,M,M,M,M,51.80,LFPB 030800Z AUTO 20010KT 160V220 9999 BKN021 BKN066 BKN090 11/08 Q1017 NOSIG,M
LFPB,2022-01-03 09:00,51.80,46.40,81.74,190.00,12.00,0.00,30.03,M,6.21,M,BKN,BKN,BKN,M,1900.00,9600.00,13000.00,M,M,M,M,M,M,M,M,51.80,LFPB 030900Z AUTO 19012KT 160V220 9999 BKN019 BKN096 BKN130 11/08 Q1017 NOSIG,M
LFPB,2022-01-03 10:00,53.60,48.20,81.87,210.00,12.00,0.00,30.03,M,6.21,M,BKN,OVC,M,M,1700.00,2500.00,M,M,M,M,M,M,M,M,M,53.60,LFPB 031000Z AUTO 21012KT 9999 BKN017 OVC025 12/09 Q1017 TEMPO 23015G25KT BKN013,M
LFPB,2022-01-03 11:00,53.60,48.20,81.87,210.00,11.00,0.00,30.00,M,6.21,M,OVC,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,53.60,LFPB 031100Z AUTO 21011KT 9999 OVC019 12/09 Q1016 TEMPO 23015G25KT BKN013,M
LFPB,2022-01-03 12:00,53.60,48.20,81.87,210.00,15.00,0.00,29.97,M,6.21,M,BKN,OVC,M,M,2000.00,7600.00,M,M,M,M,M,M,M,M,M,53.60,LFPB 031200Z AUTO 21015KT 180V240 9999 BKN020 OVC076 12/09 Q1015 TEMPO 21015G25KT BKN013,M
LFPB,2022-01-03 13:00,55.40,48.20,76.66,210.00,14.00,0.00,29.94,M,6.21,M,BKN,BKN,BKN,M,2600.00,3400.00,5600.00,M,M,M,M,M,M,M,M,55.40,LFPB 031300Z AUTO 21014KT 180V240 9999 BKN026 BKN034 BKN056 13/09 Q1014 TEMPO 21015G25KT BKN013,M
LFPB,2022-01-03 14:00,55.40,48.20,76.66,210.00,12.00,0.00,29.91,M,6.21,M,BKN,BKN,OVC,M,2700.00,3600.00,4400.00,M,M,M,M,M,M,M,M,55.40,LFPB 031400Z AUTO 21012KT 180V240 9999 BKN027 BKN036 OVC044 13/09 Q1013 TEMPO 21015G25KT BKN013,M
LFPB,2022-01-03 15:00,53.60,50.00,87.56,200.00,12.00,0.00,29.88,M,6.21,M,FEW,SCT,BKN,///,1900.00,2400.00,3300.00,M,-RA,M,M,M,M,M,M,53.60,LFPB 031500Z AUTO 20012KT 9999 -RA FEW019/// SCT024/// BKN033/// ///TCU 12/10 Q1012 TEMPO 21015G25KT BECMG BKN016 BKN080,M
LFPB,2022-01-03 16:00,53.60,50.00,87.56,200.00,8.00,0.00,29.88,M,6.21,M,BKN,BKN,BKN,M,1600.00,3000.00,3600.00,M,-RA,M,M,M,M,M,M,53.60,LFPB 031600Z AUTO 20008KT 9999 -RA BKN016 BKN030 BKN036 12/10 Q1012 TEMPO 21015G25KT 2500 RA BKN006,M
LFPB,2022-01-03 17:00,51.80,51.80,100.00,190.00,9.00,0.00,29.83,M,4.35,M,BKN,BKN,OVC,///,1100.00,1700.00,2400.00,M,-RA,M,M,M,M,M,M,51.80,LFPB 031700Z AUTO 19009KT 7000 -RA BKN011/// BKN017/// OVC024/// ///TCU 11/11 Q1010 TEMPO 21015G25KT 2500 RA BKN006,M
LFPB,2022-01-03 18:00,51.80,51.80,100.00,230.00,6.00,0.00,29.80,M,2.61,M,SCT,BKN,BKN,///,700.00,1300.00,2200.00,M,RA BR,M,M,M,M,M,M,51.80,LFPB 031800Z AUTO 23006KT 4200 RA BR SCT007/// BKN013/// BKN022/// ///TCU 11/11 Q1009 TEMPO 21015G25KT 2500 RA BKN006,M
LFPB,2022-01-03 19:00,53.60,51.80,93.60,210.00,11.00,0.00,29.77,M,6.21,M,FEW,BKN,OVC,///,900.00,1400.00,1900.00,M,-RADZ,M,M,M,M,M,M,53.60,LFPB 031900Z AUTO 21011KT 9999 -RADZ FEW009/// BKN014/// OVC019/// ///TCU 12/11 Q1008 TEMPO 21015G25KT 2500 RA BKN006,M
LFPB,2022-01-03 20:00,53.60,50.00,87.56,210.00,13.00,0.00,29.77,M,6.21,M,BKN,BKN,OVC,M,1700.00,2300.00,3000.00,M,M,M,M,M,M,M,M,53.60,LFPB 032000Z AUTO 21013KT 9999 BKN017 BKN023 OVC030 12/10 Q1008 TEMPO 21015G25KT 2500 RA BKN006,M
LFPB,2022-01-03 21:00,53.60,50.00,87.56,210.00,13.00,0.00,29.74,M,6.21,M,OVC,M,M,M,1600.00,M,M,M,-DZ,M,M,M,M,M,M,53.60,LFPB 032100Z AUTO 21013KT 9999 -DZ OVC016 12/10 Q1007 TEMPO 21015G25KT 2500 RA BKN006,M
LFPB,2022-01-03 22:00,53.60,50.00,87.56,200.00,10.00,0.00,29.68,M,6.21,M,BKN,OVC,M,M,1800.00,2400.00,M,M,M,M,M,M,M,M,M,53.60,LFPB 032200Z AUTO 20010KT 9999 BKN018 OVC024 12/10 Q1005 TEMPO 21015G25KT 2500 RA BKN006,M
LFPB,2022-01-03 23:00,53.60,50.00,87.56,210.00,6.00,0.00,29.65,M,6.21,M,OVC,M,M,M,1300.00,M,M,M,-RADZ,M,M,M,M,M,M,53.60,LFPB 032300Z AUTO 21006KT 9999 -RADZ OVC013 12/10 Q1004 TEMPO 21015G25KT 2500 RA BKN006,M
LFPB,2022-01-04 00:00,48.20,46.40,93.45,360.00,6.00,0.00,29.62,M,3.11,M,OVC,///,M,M,600.00,M,M,M,-RA BR,M,M,M,M,M,M,45.04,LFPB 040000Z AUTO 36006KT 5000 -RA BR OVC006/// ///TCU 09/08 Q1003 TEMPO 2500 RA SCT002 BKN004 FEW006TCU,M
LFPB,2022-01-04 01:00,48.20,46.40,93.45,360.00,5.00,0.00,29.59,M,2.92,M,OVC,///,M,M,600.00,M,M,M,RA BR,M,M,M,M,M,M,45.63,LFPB 040100Z AUTO 36005KT 4700 RA BR OVC006/// ///TCU 09/08 Q1002 TEMPO 2500 RA SCT002 BKN004 FEW006TCU,M
LFPB,2022-01-04 02:00,46.40,46.40,100.00,20.00,7.00,0.00,29.56,M,3.73,M,FEW,OVC,///,M,600.00,1200.00,M,M,-RA,M,M,M,M,M,M,42.33,LFPB 040200Z AUTO 02007KT 6000 -RA FEW006/// OVC012/// ///TCU 08/08 Q1001 TEMPO 2500 RA SCT002 BKN004 FEW006TCU,M
LFPB,2022-01-04 03:00,46.40,46.40,100.00,20.00,4.00,0.00,29.53,M,2.86,M,FEW,OVC,///,M,700.00,1300.00,M,M,-RA BR,M,M,M,M,M,M,44.24,LFPB 040300Z AUTO 02004KT 4600 -RA BR FEW007/// OVC013/// ///TCU 08/08 Q1000 TEMPO 2500 RA SCT002 BKN004 FEW006TCU,M
LFPB,2022-01-04 04:00,46.40,46.40,100.00,10.00,7.00,0.00,29.50,M,2.86,M,FEW,OVC,///,M,600.00,1800.00,M,M,-RA BR,M,M,M,M,M,M,42.33,LFPB 040400Z AUTO 01007KT 4600 -RA BR FEW006/// OVC018/// ///TCU 08/08 Q0999 TEMPO 2500 RA SCT002 BKN004 FEW006TCU,M
LFPB,2022-01-04 05:00,46.40,46.40,100.00,350.00,5.00,0.00,29.50,M,3.11,M,FEW,OVC,///,M,600.00,3000.00,M,M,-RA BR,M,M,M,M,M,M,43.50,LFPB 040500Z AUTO 35005KT 320V030 5000 -RA BR FEW006/// OVC030/// ///TCU 08/08 Q0999 TEMPO 2500 RA SCT002 BKN004 FEW006TCU,M
LFPB,2022-01-04 06:00,46.40,44.60,93.40,320.00,4.00,0.00,29.50,M,6.21,M,FEW,BKN,OVC,///,900.00,4600.00,5400.00,M,-RA,M,M,M,M,M,M,44.24,LFPB 040600Z AUTO 32004KT 9999 -RA FEW009/// BKN046/// OVC054/// ///TCU 08/07 Q0999 TEMPO 4500 RA BKN004 BKN040,M
LFPB,2022-01-04 07:00,46.40,44.60,93.40,300.00,4.00,0.00,29.53,M,6.21,M,FEW,OVC,///,M,1000.00,5200.00,M,M,-RA,M,M,M,M,M,M,44.24,LFPB 040700Z AUTO 30004KT 260V330 9999 -RA FEW010/// OVC052/// ///TCU 08/07 Q1000 TEMPO 4500 RA BKN004 BKN040,M
LFPB,2022-01-04 08:00,46.40,44.60,93.40,280.00,3.00,0.00,29.53,M,6.21,M,FEW,OVC,M,M,3100.00,6800.00,M,M,-RA,M,M,M,M,M,M,45.15,LFPB 040800Z AUTO 28003KT 9999 -RA FEW031 OVC068 08/07 Q1000 TEMPO 4500 RA BKN004 BKN040,M
LFPB,2022-01-04 09:00,46.40,44.60,93.40,250.00,4.00,0.00,29.56,M,6.21,M,FEW,SCT,BKN,M,1100.00,3600.00,4300.00,M,-RA,M,M,M,M,M,M,44.24,LFPB 040900Z AUTO 25004KT 220V280 9999 -RA FEW011 SCT036 BKN043 08/07 Q1001 NOSIG,M
LFPB,2022-01-04 10:00,46.40,44.60,93.40,230.00,5.00,0.00,29.59,M,6.21,M,FEW,BKN,OVC,M,800.00,7200.00,8200.00,M,M,M,M,M,M,M,M,43.50,LFPB 041000Z AUTO 23005KT 9999 FEW008 BKN072 OVC082 08/07 Q1002 NOSIG,M
LFPB,2022-01-04 11:00,48.20,46.40,93.45,190.00,4.00,0.00,29.59,M,6.21,M,SCT,OVC,M,M,1300.00,8400.00,M,M,M,M,M,M,M,M,M,46.34,LFPB 041100Z AUTO 19004KT 9999 SCT013 OVC084 09/08 Q1002 TEMPO 27015G25KT 4000 SHRA SCT012TCU,M
LFPB,2022-01-04 12:00,48.20,46.40,93.45,220.00,7.00,0.00,29.56,M,6.21,M,OVC,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,44.53,LFPB 041200Z AUTO 22007KT 9999 OVC013 09/08 Q1001 BECMG SCT012 BKN080,M
LFPB,2022-01-04 13:00,50.00,46.40,87.37,210.00,7.00,0.00,29.56,M,6.21,M,BKN,OVC,M,M,1500.00,5000.00,M,M,M,M,M,M,M,M,M,50.00,LFPB 041300Z AUTO 21007KT 190V250 9999 BKN015 OVC050 10/08 Q1001 NOSIG,M
LFPB,2022-01-04 14:00,50.00,44.60,81.61,220.00,10.00,0.00,29.53,M,6.21,M,BKN,OVC,M,M,1900.00,3900.00,M,M,M,M,M,M,M,M,M,50.00,LFPB 041400Z AUTO 22010KT 190V260 9999 BKN019 OVC039 10/07 Q1000 TEMPO BKN013,M
LFPB,2022-01-04 15:00,50.00,44.60,81.61,220.00,11.00,0.00,29.53,M,6.21,M,FEW,BKN,BKN,M,1800.00,2300.00,3300.00,M,M,M,M,M,M,M,M,50.00,LFPB 041500Z AUTO 22011KT 190V250 9999 FEW018 BKN023 BKN033 10/07 Q1000 TEMPO 24015G25KT 4000 -SHRA BKN012TCU,M
LFPB,2022-01-04 16:00,50.00,42.80,76.18,230.00,13.00,0.00,29.56,M,6.21,M,SCT,SCT,BKN,M,2300.00,4800.00,5600.00,M,M,M,M,M,M,M,M,50.00,LFPB 041600Z AUTO 23013KT 9999 SCT023 SCT048 BKN056 10/06 Q1001 TEMPO 24015G25KT 4000 -SHRA BKN012TCU,M
LFPB,2022-01-04 17:00,48.20,39.20,70.88,260.00,13.00,0.00,29.56,M,6.21,M,FEW,SCT,BKN,M,2400.00,4400.00,5000.00,M,M,M,M,M,M,M,M,42.32,LFPB 041700Z AUTO 26013KT 230V300 9999 FEW024 SCT044 BKN050 09/04 Q1001 TEMPO 24015G25KT 4000 -SHRA BKN012TCU,M
