,AT,BE,CZ,DK,FR,LU,NL,NO,PL,SE,CH,sum
2024-01-01 00:00:00+00:00,341.0,0.0,459.0,0.0,1420.0,0.0,1496.25,0.0,0.0,0.0,0.0,2307.0
2024-01-01 01:00:00+00:00,294.5,0.0,493.0,0.0,1094.0,0.0,1410.75,0.0,0.0,0.0,0.0,2102.0
2024-01-01 02:00:00+00:00,279.75,0.0,594.0,0.0,754.0,0.0,1318.25,0.0,0.0,0.0,0.0,1935.0
2024-01-01 03:00:00+00:00,241.75,0.0,678.0,0.0,526.0,0.0,1115.25,0.0,0.0,0.0,0.0,1658.0
2024-01-01 04:00:00+00:00,239.0,0.0,589.0,0.0,396.0,0.0,900.5,0.0,0.0,0.0,0.0,1385.75
2024-01-01 05:00:00+00:00,234.0,0.0,596.0,0.0,653.0,0.0,1076.5,0.0,0.0,0.0,0.0,1622.75
2024-01-01 06:00:00+00:00,118.0,0.0,574.0,0.0,403.0,0.0,910.75,0.0,0.0,0.0,0.0,1273.0
2024-01-01 07:00:00+00:00,118.0,0.0,573.0,0.0,541.0,0.0,785.25,0.0,0.0,0.0,0.0,1181.75
2024-01-01 08:00:00+00:00,107.0,0.0,590.0,0.0,282.0,0.0,106.25,0.0,0.0,0.0,0.0,431.25
2024-01-01 09:00:00+00:00,68.75,0.0,373.0,0.0,254.0,0.0,91.75,0.0,0.0,0.0,0.0,317.25
2024-01-01 10:00:00+00:00,60.25,0.0,225.0,0.0,330.0,0.0,6.0,0.0,0.0,0.0,0.0,205.0
2024-01-01 11:00:00+00:00,133.5,0.0,330.0,0.0,700.0,0.0,319.0,0.0,0.0,0.0,0.0,710.0
2024-01-01 12:00:00+00:00,250.0,0.0,284.0,0.0,1360.0,0.0,865.75,0.0,0.0,0.0,37.0,1563.75
2024-01-01 13:00:00+00:00,430.25,0.0,126.0,0.0,2339.0,0.0,1016.5,0.0,0.0,0.0,155.5,2218.5
2024-01-01 14:00:00+00:00,401.0,786.5,206.0,0.0,3092.0,0.0,0.0,0.0,0.0,0.0,365.25,2377.25
2024-01-01 15:00:00+00:00,495.25,714.5,165.0,0.0,3482.0,0.0,0.0,0.0,0.0,0.0,607.75,2729.25
2024-01-01 16:00:00+00:00,564.75,950.5,185.0,0.0,3142.0,0.0,0.0,0.0,0.0,0.0,511.25,2858.25
2024-01-01 17:00:00+00:00,631.75,837.25,228.0,0.0,3290.0,0.0,0.0,0.0,0.0,0.0,697.5,3046.0
2024-01-01 18:00:00+00:00,606.5,52.5,181.0,0.0,3651.0,0.0,5.0,0.0,0.0,0.0,698.25,2320.25
2024-01-01 19:00:00+00:00,546.25,954.25,298.0,0.0,3959.0,0.0,0.0,0.0,0.0,0.0,696.5,3261.25
2024-01-01 20:00:00+00:00,548.0,899.5,410.0,0.0,4151.0,0.0,61.0,0.0,0.0,0.0,431.5,3080.25
2024-01-01 21:00:00+00:00,623.25,977.0,536.0,0.0,3676.0,1.5,750.25,0.0,0.0,74.0,523.75,3947.25
2024-01-01 22:00:00+00:00,768.75,1001.5,745.0,0.0,3158.0,3.5,723.5,0.0,0.0,0.0,434.75,3907.75
2024-01-01 23:00:00+00:00,658.75,1001.5,525.0,0.0,3461.0,48.0,1480.25,0.0,0.0,0.0,474.5,4659.5
2024-01-02 00:00:00+00:00,747.25,1001.0,274.0,0.0,3773.0,89.75,1697.25,0.0,0.0,0.0,608.25,5155.25
2024-01-02 01:00:00+00:00,798.5,1001.25,353.0,0.0,3305.0,44.75,2206.25,0.0,0.0,0.0,495.0,5460.25
2024-01-02 02:00:00+00:00,834.25,1000.0,201.0,0.0,3067.0,84.0,2510.0,0.0,0.0,0.0,504.75,5750.0
2024-01-02 03:00:00+00:00,849.0,988.25,68.0,0.0,3135.0,89.25,2711.25,0.0,0.0,0.0,525.25,5963.75
2024-01-02 04:00:00+00:00,866.0,889.5,5.0,0.0,3107.0,10.25,2675.0,0.0,0.0,0.0,534.25,5753.0
2024-01-02 05:00:00+00:00,746.5,995.25,0.0,0.0,3956.0,0.0,1446.0,0.0,0.0,0.0,638.5,4815.25
2024-01-02 06:00:00+00:00,749.25,816.0,0.0,0.0,4049.0,0.0,1600.75,0.0,0.0,0.0,720.25,4898.5
2024-01-02 07:00:00+00:00,591.5,779.75,0.0,0.0,4118.0,0.0,1170.0,0.0,0.0,0.0,841.75,4412.5
2024-01-02 08:00:00+00:00,347.75,681.25,0.0,0.0,4160.0,0.0,84.75,0.0,0.0,0.0,1087.75,3241.5
2024-01-02 09:00:00+00:00,656.25,440.5,0.0,0.0,4224.0,0.0,0.0,9.25,0.0,0.0,1435.75,3597.75
2024-01-02 10:00:00+00:00,759.75,903.75,0.0,2.0,4316.0,0.0,0.0,98.0,0.0,0.0,1738.75,4581.25
2024-01-02 11:00:00+00:00,479.0,897.25,0.0,29.25,4131.0,0.0,0.0,92.75,0.0,0.0,1546.0,4077.0
2024-01-02 12:00:00+00:00,640.0,978.0,0.0,467.5,4611.0,0.0,0.0,251.0,0.0,0.0,1842.5,5331.75
2024-01-02 13:00:00+00:00,654.75,896.0,0.0,411.25,4621.0,0.0,0.0,118.25,0.0,0.0,1713.5,4949.0
2024-01-02 14:00:00+00:00,666.25,999.5,0.0,558.25,4576.0,0.0,0.0,355.0,0.0,0.0,1583.0,5306.0
2024-01-02 15:00:00+00:00,577.0,945.75,0.0,643.0,4176.0,0.0,0.0,224.75,0.0,129.0,1162.25,4629.0
2024-01-02 16:00:00+00:00,590.25,755.0,0.0,606.5,4010.0,0.0,19.5,0.75,0.0,6.0,1092.25,4068.25
2024-01-02 17:00:00+00:00,474.0,535.0,0.0,270.75,3623.0,0.0,0.0,0.0,0.0,0.0,1026.25,3211.75
2024-01-02 18:00:00+00:00,527.75,138.25,0.0,0.0,3914.0,0.0,167.75,0.0,0.0,0.0,917.75,2730.0
2024-01-02 19:00:00+00:00,524.25,0.0,0.0,0.0,3709.0,0.0,903.75,0.0,0.0,0.0,597.25,2952.5
2024-01-02 20:00:00+00:00,407.5,0.0,0.0,0.0,3244.0,0.0,1036.25,0.0,0.0,0.0,329.75,2584.5
2024-01-02 21:00:00+00:00,414.25,0.0,36.0,0.0,2453.0,0.0,726.0,0.0,0.0,0.0,87.5,1850.0
2024-01-02 22:00:00+00:00,331.0,0.0,85.0,0.0,2026.0,0.0,511.25,0.0,0.0,0.0,3.0,1373.0
2024-01-02 23:00:00+00:00,569.25,0.0,58.0,0.0,2876.0,0.0,477.25,0.0,0.0,0.0,135.0,1915.0
2024-01-03 00:00:00+00:00,578.0,0.0,27.0,0.0,2917.0,0.0,687.75,0.0,0.0,0.0,160.0,2161.75
2024-01-03 01:00:00+00:00,506.75,0.0,144.0,0.0,1993.0,0.0,343.0,0.0,0.0,0.0,43.75,1427.75
2024-01-03 02:00:00+00:00,503.75,0.0,163.0,0.0,2030.0,0.0,369.0,0.0,0.0,0.0,100.25,1521.25
2024-01-03 03:00:00+00:00,427.25,0.0,140.0,0.0,2109.0,0.0,557.75,0.0,0.0,0.0,152.75,1700.0
2024-01-03 04:00:00+00:00,592.5,0.0,42.0,0.0,3400.0,0.0,1504.25,0.0,0.0,0.0,332.25,3289.5
2024-01-03 05:00:00+00:00,516.75,0.0,2.0,0.0,3271.0,0.0,1001.75,0.0,0.0,0.0,218.75,2555.5
2024-01-03 06:00:00+00:00,242.5,0.0,0.0,0.0,3345.0,0.0,214.75,0.0,0.0,0.0,129.25,1422.75
2024-01-03 07:00:00+00:00,236.5,0.0,0.0,0.0,3467.0,0.0,38.25,0.0,0.0,0.0,161.25,1302.75
2024-01-03 08:00:00+00:00,70.25,0.0,0.0,0.0,3157.0,0.0,0.0,0.0,0.0,0.0,8.0,867.5
2024-01-03 09:00:00+00:00,76.5,0.0,5.0,0.0,2949.0,0.0,0.0,0.0,0.0,0.0,0.0,815.0
2024-01-03 10:00:00+00:00,67.25,0.0,64.0,0.0,2922.0,0.0,0.0,0.0,0.0,0.0,0.0,813.75
2024-01-03 11:00:00+00:00,82.75,0.0,29.0,0.0,3108.0,0.0,53.75,0.0,0.0,0.0,0.0,920.75
2024-01-03 12:00:00+00:00,90.75,0.0,1.0,0.0,3482.0,0.0,55.25,0.0,0.0,0.0,0.0,1016.75
2024-01-03 13:00:00+00:00,82.75,229.0,60.0,0.0,3801.0,0.0,0.0,0.0,0.0,0.0,71.0,1348.0
2024-01-03 14:00:00+00:00,259.75,742.0,140.0,0.0,4065.0,0.0,0.0,0.0,0.0,0.0,217.75,2270.75
2024-01-03 15:00:00+00:00,179.75,837.75,0.0,0.0,4025.0,0.0,0.0,0.0,0.0,0.0,300.0,2323.75
2024-01-03 16:00:00+00:00,145.75,848.5,0.0,0.0,3743.0,0.0,0.0,0.0,0.0,0.0,374.5,2304.5
2024-01-03 17:00:00+00:00,177.5,194.25,0.0,11.5,3568.0,0.0,0.0,188.0,0.0,0.0,365.0,1828.25
2024-01-03 18:00:00+00:00,188.75,0.0,0.0,110.0,3742.0,0.0,403.25,63.0,0.0,0.0,452.5,2153.0
2024-01-03 19:00:00+00:00,142.25,441.75,0.0,0.0,4034.0,0.0,0.0,0.0,0.0,0.0,470.25,2062.75
2024-01-03 20:00:00+00:00,212.0,968.25,6.0,0.0,4116.0,0.0,0.0,0.0,0.0,0.0,596.5,2807.25
2024-01-03 21:00:00+00:00,322.0,970.75,219.0,0.0,3823.0,0.0,0.0,0.0,0.0,0.0,429.75,2733.0
2024-01-03 22:00:00+00:00,186.75,296.0,339.0,0.0,3369.0,0.0,0.0,0.0,0.0,0.0,148.5,1558.25
2024-01-03 23:00:00+00:00,357.75,389.5,274.0,0.0,3354.0,0.0,0.0,0.0,0.0,0.0,302.0,1956.25
2024-01-04 00:00:00+00:00,494.25,202.25,251.0,0.0,3389.0,0.0,0.0,0.0,0.0,0.0,413.0,2019.5
2024-01-04 01:00:00+00:00,569.25,277.25,296.0,0.0,3093.0,0.0,0.0,0.0,0.0,0.0,413.25,2107.0
2024-01-04 02:00:00+00:00,582.0,10.25,373.0,0.0,3152.0,0.0,0.0,0.0,0.0,0.0,401.75,1875.25
2024-01-04 03:00:00+00:00,636.25,77.75,373.0,0.0,3270.0,0.0,0.0,0.0,0.0,0.0,370.0,1994.75
2024-01-04 04:00:00+00:00,456.0,7.5,426.0,0.0,3346.0,0.0,0.0,0.0,0.0,0.0,330.25,1736.75
2024-01-04 05:00:00+00:00,181.75,203.25,214.0,0.0,2974.0,0.0,0.0,0.0,0.0,0.0,84.5,1266.5
2024-01-04 06:00:00+00:00,151.5,18.0,146.0,0.0,3017.0,0.0,0.0,20.0,0.0,0.0,258.25,1238.5
2024-01-04 07:00:00+00:00,510.0,74.25,513.0,0.0,2702.0,0.0,0.0,486.0,0.0,0.0,88.5,1962.5
2024-01-04 08:00:00+00:00,1334.25,405.75,843.0,0.0,2688.0,0.0,0.0,15.5,0.0,0.0,73.0,2711.25
2024-01-04 09:00:00+00:00,1901.5,993.5,1161.0,0.0,2420.0,0.0,1.75,0.0,1.0,0.0,0.0,3792.25
2024-01-04 10:00:00+00:00,2044.75,1000.0,1873.0,0.0,2345.0,0.0,69.25,0.0,1.0,0.0,0.0,4168.75
2024-01-04 11:00:00+00:00,1864.5,978.0,1576.0,0.0,2971.0,0.0,203.75,0.25,0.0,0.0,524.25,4707.5
2024-01-04 12:00:00+00:00,1796.25,616.0,1497.0,0.0,3376.0,0.0,721.25,179.25,0.0,0.0,1285.75,5816.75
2024-01-04 13:00:00+00:00,1749.25,814.5,1478.0,0.0,3434.0,0.0,682.0,144.0,0.0,0.0,1535.25,6153.0
2024-01-04 14:00:00+00:00,1642.5,988.75,1491.0,0.0,3905.0,0.0,701.25,59.5,0.0,0.0,1921.25,6662.25
2024-01-04 15:00:00+00:00,2316.0,998.5,1766.0,0.0,3942.0,0.0,592.5,366.75,0.0,0.0,2021.75,7722.5
2024-01-04 16:00:00+00:00,2590.5,915.25,1910.0,0.0,3786.0,0.0,953.25,275.0,262.0,0.0,2267.75,8491.25
2024-01-04 17:00:00+00:00,2690.75,870.75,2113.0,0.0,3358.0,0.0,542.25,459.75,588.0,0.0,1864.25,7942.5
2024-01-04 18:00:00+00:00,2856.0,828.5,1809.0,486.5,3675.0,0.0,609.0,595.5,72.0,0.0,2168.5,8933.0
2024-01-04 19:00:00+00:00,2494.0,986.75,1783.0,449.5,4071.0,0.0,446.25,425.5,0.0,0.0,2164.25,8429.75
2024-01-04 20:00:00+00:00,2170.0,1000.75,1899.0,927.5,3979.0,0.0,867.5,384.75,0.0,0.0,1462.0,8282.0
2024-01-04 21:00:00+00:00,1854.5,1001.25,1855.0,1395.0,3964.0,0.0,340.75,561.25,0.0,0.0,907.25,7514.75
2024-01-04 22:00:00+00:00,1720.0,996.5,1830.0,1753.75,4091.0,0.0,28.0,576.25,0.0,0.0,650.0,7204.75
2024-01-04 23:00:00+00:00,1407.75,777.25,1673.0,208.0,4167.0,0.0,1112.0,92.25,0.0,0.0,367.25,5424.5
2024-01-05 00:00:00+00:00,1184.25,841.5,1660.0,0.0,4272.0,0.0,1389.25,272.5,0.0,0.0,485.0,5655.5
2024-01-05 01:00:00+00:00,1045.75,998.0,1614.0,0.0,4377.0,0.0,1800.25,284.25,0.0,0.0,475.0,6101.0
2024-01-05 02:00:00+00:00,1032.0,1001.5,1576.0,0.0,4058.0,0.0,1957.5,137.5,0.0,0.0,464.0,6001.0
2024-01-05 03:00:00+00:00,720.0,1001.5,1409.0,0.0,3908.0,0.0,2132.5,326.5,0.0,0.0,454.75,5964.5
2024-01-05 04:00:00+00:00,241.75,957.0,350.0,26.0,3925.0,0.0,2279.0,619.0,0.0,0.0,443.75,5635.25
2024-01-05 05:00:00+00:00,394.25,927.75,107.0,225.5,4121.0,0.0,1609.5,565.25,0.0,0.0,624.0,5403.25
2024-01-05 06:00:00+00:00,225.0,167.25,122.0,0.25,3821.0,0.0,1877.25,501.75,0.0,0.0,646.75,4404.0
2024-01-05 07:00:00+00:00,350.75,0.0,467.0,0.0,3398.0,0.0,1187.75,273.75,0.0,0.0,600.75,3379.25
2024-01-05 08:00:00+00:00,729.0,8.0,746.0,0.0,2961.0,0.0,375.5,141.25,0.0,0.0,338.0,2518.5
2024-01-05 09:00:00+00:00,1205.0,0.0,907.0,0.0,2556.0,0.0,152.5,46.5,0.0,0.0,53.5,2323.25
2024-01-05 10:00:00+00:00,1381.25,0.0,1009.0,0.0,2282.0,0.0,0.0,56.5,0.0,0.0,0.0,2260.5
2024-01-05 11:00:00+00:00,860.25,0.0,864.0,0.0,2877.0,0.0,17.75,0.0,0.0,0.0,56.75,1870.0
2024-01-05 12:00:00+00:00,613.75,0.0,758.0,0.0,3241.0,0.0,82.25,0.0,0.0,0.0,182.0,1877.75
2024-01-05 13:00:00+00:00,512.75,0.0,696.0,0.0,3338.0,0.0,437.5,22.25,0.0,0.0,248.0,2229.0
2024-01-05 14:00:00+00:00,791.5,738.0,598.0,0.0,3635.0,0.0,0.0,57.5,0.0,0.0,518.0,3163.25
2024-01-05 15:00:00+00:00,1092.0,552.75,547.0,0.0,3657.0,0.0,0.0,57.5,0.0,0.0,1146.25,3899.5
2024-01-05 16:00:00+00:00,1237.25,690.25,546.0,0.0,3560.0,0.0,0.0,0.0,0.0,0.0,1652.75,4606.75
2024-01-05 17:00:00+00:00,1313.5,737.5,647.0,0.0,3153.0,0.0,0.0,0.0,0.0,0.0,1608.0,4609.0
2024-01-05 18:00:00+00:00,991.25,0.0,747.0,0.0,2919.0,0.0,0.0,0.0,0.0,0.0,738.5,2646.25
2024-01-05 19:00:00+00:00,653.75,0.0,763.0,0.0,2963.0,0.0,0.0,0.0,0.0,0.0,340.0,1925.25
2024-01-05 20:00:00+00:00,340.0,18.75,634.0,0.0,3097.0,0.0,0.0,0.0,0.0,0.0,357.0,1648.5
2024-01-05 21:00:00+00:00,324.5,0.0,736.0,0.0,3047.0,0.0,0.0,0.0,0.0,0.0,411.25,1681.5
2024-01-05 22:00:00+00:00,639.25,261.5,969.0,0.0,2829.0,0.0,0.0,77.25,0.0,0.0,278.75,2206.25
2024-01-05 23:00:00+00:00,720.0,5.0,982.0,0.0,2924.0,0.0,0.0,0.0,0.0,0.0,464.5,2166.0
2024-01-06 00:00:00+00:00,1036.75,568.75,1295.0,0.0,2918.0,0.0,0.0,0.0,0.0,0.0,530.5,3189.25
2024-01-06 01:00:00+00:00,1307.5,873.25,1767.0,0.0,2803.0,0.0,0.0,0.0,0.0,0.0,623.5,3946.75
2024-01-06 02:00:00+00:00,1192.25,616.75,1546.0,0.0,3146.0,0.0,0.0,0.0,0.0,0.0,1033.0,4015.0
2024-01-06 03:00:00+00:00,1196.5,297.5,1667.0,0.0,3545.0,0.0,0.0,0.0,0.0,0.0,1218.25,4015.25
2024-01-06 04:00:00+00:00,1013.25,437.25,2001.0,0.0,3427.0,0.0,0.0,0.0,0.0,0.0,928.75,3736.25
2024-01-06 05:00:00+00:00,1238.0,686.75,2135.0,0.0,3160.0,0.0,0.0,0.0,0.0,0.0,682.0,3930.5
2024-01-06 06:00:00+00:00,1254.75,184.0,1867.0,0.0,2853.0,0.0,0.0,0.0,0.0,0.0,453.0,3071.75
2024-01-06 07:00:00+00:00,1065.25,855.0,1564.0,0.0,2852.0,0.0,0.0,0.0,0.0,0.0,425.0,3449.25
2024-01-06 08:00:00+00:00,947.0,533.5,1261.0,0.0,3343.0,0.0,91.5,30.5,0.0,0.0,736.5,3490.0
2024-01-06 09:00:00+00:00,925.5,554.5,1367.0,0.0,3612.0,0.0,203.75,0.0,0.0,0.0,997.75,3926.25
2024-01-06 10:00:00+00:00,1066.25,958.0,1342.0,0.0,3565.0,0.0,0.0,0.0,0.0,0.0,1140.25,4391.25
2024-01-06 11:00:00+00:00,1162.75,729.25,1326.0,0.0,4040.0,0.0,0.0,0.0,0.0,0.0,1548.5,4782.0
2024-01-06 12:00:00+00:00,946.5,996.0,1083.0,0.0,4512.0,0.0,0.0,0.0,0.0,0.0,1429.75,4771.0
2024-01-06 13:00:00+00:00,997.25,1002.0,1033.0,0.0,4603.0,0.0,0.0,0.0,0.0,0.0,1422.0,4830.25
2024-01-06 14:00:00+00:00,1245.5,1001.75,1214.0,0.0,4494.0,0.0,0.0,0.0,0.0,0.0,1643.75,5318.0
2024-01-06 15:00:00+00:00,1372.5,1002.0,1245.0,0.0,4459.0,0.0,0.0,0.0,0.0,0.0,1758.25,5558.75
2024-01-06 16:00:00+00:00,2424.25,972.25,1994.0,0.0,4297.0,0.0,0.0,0.0,0.0,0.0,1962.25,6931.5
2024-01-06 17:00:00+00:00,2615.75,0.0,2259.0,0.0,4083.0,0.0,0.0,0.0,0.0,0.0,1833.0,6034.25
2024-01-06 18:00:00+00:00,2304.75,3.5,2375.0,0.0,3800.0,0.0,0.0,0.0,0.0,0.0,1694.25,5546.25
2024-01-06 19:00:00+00:00,1907.5,963.75,2134.0,0.0,3630.0,0.0,0.0,0.0,0.0,0.0,1165.75,5478.0
2024-01-06 20:00:00+00:00,1774.75,908.0,2253.0,0.0,3291.0,0.0,0.0,70.5,0.0,0.0,480.0,4619.25
2024-01-06 21:00:00+00:00,2016.0,862.75,2557.0,0.0,3122.0,0.0,0.0,244.25,0.0,0.0,399.75,4942.5
2024-01-06 22:00:00+00:00,2401.25,120.25,2972.0,0.0,2799.0,0.0,0.0,148.0,0.0,0.0,106.75,4219.0
2024-01-06 23:00:00+00:00,2299.0,0.0,3343.0,0.0,2468.0,0.0,0.0,0.0,85.0,0.0,41.0,3814.0
2024-01-07 00:00:00+00:00,2052.0,0.0,3432.0,0.0,2805.0,0.0,0.0,0.0,222.0,0.0,111.0,3777.75
2024-01-07 01:00:00+00:00,1953.5,673.75,3431.0,0.0,3210.0,0.0,0.0,0.0,280.0,0.0,225.5,4583.0
2024-01-07 02:00:00+00:00,1769.5,254.25,3248.0,0.0,3599.0,0.0,0.0,0.0,303.0,0.0,306.0,4117.25
2024-01-07 03:00:00+00:00,1792.75,270.25,3065.0,0.0,3420.0,0.0,0.0,0.0,283.0,0.0,389.5,4144.5
2024-01-07 04:00:00+00:00,1585.75,490.0,2791.0,0.0,3405.0,0.0,0.0,0.0,97.0,0.0,397.0,4046.0
2024-01-07 05:00:00+00:00,1443.25,364.25,2661.0,0.0,3091.0,0.0,0.0,0.0,2.0,0.0,277.0,3523.0
2024-01-07 06:00:00+00:00,1616.25,407.75,2866.0,0.0,2810.0,0.0,0.0,0.0,0.0,0.0,257.5,3700.5
2024-01-07 07:00:00+00:00,1607.0,624.0,2553.0,0.0,2663.0,0.0,0.0,0.0,27.0,0.0,191.25,3733.0
2024-01-07 08:00:00+00:00,1682.0,614.5,2242.0,0.0,2533.0,0.0,0.0,0.0,56.0,0.0,147.0,3651.25
2024-01-07 09:00:00+00:00,1720.5,691.25,2168.0,0.0,2481.0,0.0,0.0,0.0,200.0,0.0,96.0,3720.0
2024-01-07 10:00:00+00:00,1992.25,486.0,2052.0,0.0,2617.0,0.0,0.0,0.0,275.0,0.0,14.25,3728.5
2024-01-07 11:00:00+00:00,2179.25,562.0,2077.0,1.5,2776.0,0.0,0.0,0.0,253.0,0.0,97.0,4116.25
2024-01-07 12:00:00+00:00,1793.75,409.75,1834.0,1.0,3101.0,0.0,0.0,0.0,180.0,0.0,106.25,3589.5
2024-01-07 13:00:00+00:00,1543.25,558.75,1495.0,0.25,3251.0,0.0,0.0,0.0,53.0,0.0,197.0,3499.0
2024-01-07 14:00:00+00:00,1452.5,458.5,1351.0,0.0,3388.0,0.0,0.0,0.0,19.0,0.0,634.25,3734.75
2024-01-07 15:00:00+00:00,1776.0,982.0,1265.0,0.25,3760.0,0.0,0.0,0.0,0.0,0.0,1153.5,5168.0
2024-01-07 16:00:00+00:00,2170.5,602.5,1377.0,0.25,3637.0,0.0,0.0,0.0,0.0,0.0,1482.0,5508.75
2024-01-07 17:00:00+00:00,2276.25,0.0,1533.0,0.25,3040.0,0.0,0.0,0.0,0.0,0.0,870.0,4289.75
2024-01-07 18:00:00+00:00,2283.25,592.0,1400.0,0.0,2497.0,0.0,0.0,0.0,0.0,0.0,400.0,4249.5
2024-01-07 19:00:00+00:00,1997.25,0.0,1248.0,0.0,2350.0,0.0,0.0,0.0,0.0,0.0,61.0,2957.75
2024-01-07 20:00:00+00:00,1828.5,0.0,1360.0,0.0,2284.0,0.0,0.0,65.25,0.0,0.0,0.0,2804.75
2024-01-07 21:00:00+00:00,1977.75,0.0,1585.0,0.0,2005.0,0.0,0.0,5.75,0.0,0.0,0.0,2881.0
2024-01-07 22:00:00+00:00,1708.75,0.0,1898.0,119.0,2501.0,0.0,0.0,6.25,0.0,0.0,0.0,2933.75
2024-01-07 23:00:00+00:00,2283.0,775.0,2526.0,39.0,2267.0,0.0,0.0,0.0,184.0,0.0,13.5,4354.75
2024-01-08 00:00:00+00:00,2166.5,920.25,2626.0,0.0,2406.0,0.0,0.0,0.0,199.0,0.0,13.0,4407.5
2024-01-08 01:00:00+00:00,1895.0,926.75,2206.0,0.0,2465.0,0.0,0.0,0.0,173.0,0.0,12.25,4045.0
2024-01-08 02:00:00+00:00,1961.5,856.25,2172.0,0.0,2553.0,0.0,0.0,0.0,259.0,0.0,132.5,4196.25
2024-01-08 03:00:00+00:00,1734.0,960.0,1980.0,0.75,2871.0,0.0,0.0,0.0,142.0,0.0,160.25,4103.25
2024-01-08 04:00:00+00:00,1380.5,494.0,1597.0,0.0,2982.0,0.0,4.5,151.5,0.0,0.0,45.75,3221.0
2024-01-08 05:00:00+00:00,1107.25,978.0,1059.0,0.0,3469.0,0.0,1064.5,30.5,0.0,0.0,0.0,4312.25
2024-01-08 06:00:00+00:00,904.5,973.5,1031.0,0.0,3620.0,0.0,1994.75,457.5,0.0,0.0,100.0,5593.0
2024-01-08 07:00:00+00:00,1203.25,350.75,961.0,0.0,3883.0,0.0,2065.5,485.75,0.0,0.0,320.75,5637.0
2024-01-08 08:00:00+00:00,962.0,334.75,1038.0,0.0,3412.0,0.0,1629.25,425.5,0.0,0.0,156.0,4620.0
2024-01-08 09:00:00+00:00,851.5,907.75,1152.0,0.0,2369.0,0.0,1302.75,416.75,0.0,0.0,0.0,4359.0
2024-01-08 10:00:00+00:00,705.0,0.0,1075.0,0.0,2178.0,0.0,3396.25,408.0,0.0,0.0,0.0,5322.5
2024-01-08 11:00:00+00:00,574.25,621.75,1135.0,0.0,1626.0,0.0,2662.0,74.0,0.0,0.0,0.0,4622.25
2024-01-08 12:00:00+00:00,618.5,0.0,1151.0,0.0,1709.0,0.0,4174.0,36.25,0.0,0.0,0.0,5543.75
2024-01-08 13:00:00+00:00,546.75,0.0,983.0,0.0,1969.0,0.0,4197.0,4.0,0.0,0.0,14.5,5500.25
2024-01-08 14:00:00+00:00,633.5,732.5,825.0,0.0,2822.0,0.0,3450.25,71.5,0.0,0.0,293.0,6092.5
2024-01-08 15:00:00+00:00,738.25,412.75,787.0,0.0,2972.0,0.0,2989.0,0.5,0.0,0.0,428.0,5508.25
2024-01-08 16:00:00+00:00,659.75,0.0,874.0,0.0,2049.0,0.0,2458.0,290.5,0.0,0.0,187.75,4326.75
2024-01-08 17:00:00+00:00,518.25,889.5,812.0,0.0,925.0,0.0,1348.75,391.25,0.0,0.0,50.0,3632.0
2024-01-08 18:00:00+00:00,798.5,782.25,992.0,0.0,654.0,0.0,1645.5,185.25,0.0,0.0,79.0,3902.0
2024-01-08 19:00:00+00:00,1242.75,624.5,1230.0,0.0,558.0,0.0,2122.25,107.25,0.0,0.0,0.25,4544.0
2024-01-08 20:00:00+00:00,1177.25,771.0,1247.0,0.0,751.0,0.0,2230.25,10.0,0.0,0.0,0.0,4688.0
2024-01-08 21:00:00+00:00,1226.75,806.75,1238.0,187.5,834.0,0.0,2117.0,186.75,0.0,0.0,0.0,5042.75
2024-01-08 22:00:00+00:00,1511.75,274.0,1557.0,21.25,902.0,0.0,2992.0,456.5,0.0,0.0,0.0,5870.25
2024-01-08 23:00:00+00:00,878.25,817.5,1090.0,1078.25,1016.0,0.0,2020.0,461.5,0.0,0.0,0.0,5782.0
2024-01-09 00:00:00+00:00,982.0,536.5,1087.0,1731.5,936.0,0.0,1940.0,368.5,0.0,0.0,0.0,6064.25
2024-01-09 01:00:00+00:00,754.75,53.25,1010.0,1304.75,1228.0,0.0,2745.0,549.0,0.0,0.0,0.0,5966.25
2024-01-09 02:00:00+00:00,824.0,405.75,928.0,1636.25,1481.0,0.0,2538.5,506.75,0.0,0.0,0.0,6513.5
2024-01-09 03:00:00+00:00,647.5,949.5,791.0,2187.5,1594.0,0.0,2196.25,768.0,0.0,0.0,0.0,7345.0
2024-01-09 04:00:00+00:00,422.75,916.25,653.0,2011.75,1475.0,0.0,2915.0,1314.25,0.0,0.0,0.0,8112.0
2024-01-09 05:00:00+00:00,258.25,746.5,623.0,1821.5,1446.0,0.0,2155.75,1402.0,0.0,0.0,0.25,6901.5
2024-01-09 06:00:00+00:00,891.75,874.5,402.0,1600.0,1881.0,0.0,1520.0,1393.25,0.0,0.0,902.0,7752.25
2024-01-09 07:00:00+00:00,1306.75,516.75,656.0,618.75,1613.0,0.0,1523.5,1129.75,0.0,0.0,1087.25,6750.0
2024-01-09 08:00:00+00:00,1157.5,439.5,775.0,875.5,624.0,0.0,820.0,720.0,0.0,0.0,257.75,4620.0
2024-01-09 09:00:00+00:00,648.75,818.5,968.0,862.25,187.0,0.0,1066.5,164.5,0.0,0.0,211.0,4060.25
2024-01-09 10:00:00+00:00,517.0,958.5,917.0,893.75,45.0,0.0,1350.5,284.25,0.0,0.0,148.25,4392.75
2024-01-09 11:00:00+00:00,455.25,927.75,815.0,971.0,154.0,0.0,1467.0,356.25,0.0,0.0,72.25,4491.75
